Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Cottage Grove,1034499,082242017633,Bota Box Breeze Chardonnay 3L Box,1503789,3,1.0,44.0,44.0,
Vadnais Heights,1034607,082242017633,Bota Box Breeze Chardonnay 3L Box,1503789,3,1.0,44.0,44.0,
Woodbury,1034615,082242017633,Bota Box Breeze Chardonnay 3L Box,1503789,3,1.0,44.0,44.0,
Blaine,1034465,082242017657,Bota Box Nighthawk Black Malbec 3L Box,001698146,3,1.0,44.0,44.0,
Plymouth,1034537,082242017657,Bota Box Nighthawk Black Malbec 3L Box,001698146,3,1.0,44.0,44.0,
Rosemount,1034556,082242017657,Bota Box Nighthawk Black Malbec 3L Box,001698146,3,1.0,44.0,44.0,
Blaine,1034465,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,1467290,3,1.0,44.0,44.0,
Cottage Grove,1034499,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,1467290,3,1.0,44.0,44.0,
Minneapolis,1034510,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,1467290,3,1.0,44.0,44.0,
Osseo,1034528,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,1467290,3,1.0,44.0,44.0,
Rosemount,1034556,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,1467290,3,1.0,44.0,44.0,
St. Louis Park,1034585,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,1467290,3,1.0,44.0,44.0,
Stillwater,1034598,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,1467290,3,1.0,44.0,44.0,
Woodbury,1034615,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,1467290,3,1.0,44.0,44.0,
Stillwater,1034598,082242018692,Bota Box Brightside Sauv Blanc/PG 500ml,1208007,12,1.0,40.0,40.0,
Minneapolis,1034659,08273109,Don Julio 1942 50ml,1302862,60,1.0,440.0,440.0,
Osseo,1034660,08273303,Captain Morgan Chili Lime 50ml,1780951,120,1.0,80.75,80.75,
Ramsey,1034624,084279005751,Windsor Canadian 375ml,000004556,24,1.0,129.0,129.0,
Roseville,1034625,084279005751,Windsor Canadian 375ml,000004556,24,1.0,129.0,129.0,
Blaine,1034622,084279007403,Windsor Apple 1.75L,1150527,6,1.0,92.35,92.35,
Plymouth,1034657,084279007403,Windsor Apple 1.75L,1150527,6,1.0,92.35,92.35,
Andover,1034450,084279973944,Starling Castle Riesling 750ml,000010547,12,1.0,72.0,72.0,
Cottage Grove,1034499,084279973944,Starling Castle Riesling 750ml,000010547,12,1.0,72.0,72.0,
Rosemount,1034556,084279973944,Starling Castle Riesling 750ml,000010547,12,1.0,72.0,72.0,
Roseville,1034569,084279973944,Starling Castle Riesling 750ml,000010547,12,1.0,72.0,72.0,
Andover,1034450,08500229,Sutter Home Merlot 187ml,000016840,6,1.0,30.0,30.0,
Andover,1034450,08500520,Sutter Home Cab Sauv 187ml,000055160,6,1.0,30.0,30.0,
Blaine,1034465,08500520,Sutter Home Cab Sauv 187ml,000055160,6,1.0,30.0,30.0,
Plymouth,1034537,08500520,Sutter Home Cab Sauv 187ml,000055160,6,1.0,30.0,30.0,
Rosemount,1034556,08500520,Sutter Home Cab Sauv 187ml,000055160,6,1.0,30.0,30.0,
Blaine,1034465,08500627,Sutter Home Chardonnay 187ml,000067629,6,1.0,30.0,30.0,
St. Louis Park,1034585,08500627,Sutter Home Chardonnay 187ml,000067629,6,1.0,30.0,30.0,
Stillwater,1034598,08500627,Sutter Home Chardonnay 187ml,000067629,6,1.0,30.0,30.0,
Cottage Grove,1034499,08500928,Sutter Home White Zinfandel 187ml,000055608,6,1.0,30.0,30.0,
Blaine,1034465,08501422,Sutter Home Pinot Grigio 187ml,000068890,6,2.0,30.0,60.0,
Chanhassen,1034487,08501422,Sutter Home Pinot Grigio 187ml,000068890,6,1.0,30.0,30.0,
Cottage Grove,1034499,08501422,Sutter Home Pinot Grigio 187ml,000068890,6,1.0,30.0,30.0,
Roseville,1034569,08501422,Sutter Home Pinot Grigio 187ml,000068890,6,1.0,30.0,30.0,
Woodbury,1034615,08501422,Sutter Home Pinot Grigio 187ml,000068890,6,1.0,30.0,30.0,
Andover,1034450,08501626,Sutter Home Moscato 187ml,000010468,6,1.0,30.0,30.0,
Cottage Grove,1034499,08509929,Sutter Home Pink Moscato 187ml,000019654,6,1.0,30.0,30.0,
Roseville,1034569,08509929,Sutter Home Pink Moscato 187ml,000019654,6,1.0,30.0,30.0,
Vadnais Heights,1034607,08509929,Sutter Home Pink Moscato 187ml,000019654,6,1.0,30.0,30.0,
Cottage Grove,1034499,08510129,Fre Chardonnay N/A 750ml,000059998,12,1.0,80.0,80.0,
Bloomington,1034663,085156515417,Ketel One Vodka 750ml,14258,12,1.0,189.0,189.0,
Stillwater,1034662,085156515417,Ketel One Vodka 750ml,14258,12,1.0,189.0,189.0,
Rosemount,1034648,085156675005,Ketel One Botanical Peach & Orange Bloss 750ml,001547608,12,1.0,189.0,189.0,
St. Louis Park,1034661,085156675005,Ketel One Botanical Peach & Orange Bloss 750ml,001547608,12,1.0,189.0,189.0,
Blaine,1034465,085200005758,SeaGlass Sauvignon Blanc 750ml,000015244,12,1.0,90.32,90.32,
St. Louis Park,1034585,085200005796,SeaGlass Pinot Gris 750ml,000020359,12,1.0,90.32,90.32,
Blaine,1034465,085200718740,Sutter Home Sauvignon Blanc 187ml,000054460,6,1.0,30.0,30.0,
Chanhassen,1034487,085200718740,Sutter Home Sauvignon Blanc 187ml,000054460,6,1.0,30.0,30.0,
Cottage Grove,1034499,085200718740,Sutter Home Sauvignon Blanc 187ml,000054460,6,1.0,30.0,30.0,
Ramsey,1034546,085200718740,Sutter Home Sauvignon Blanc 187ml,000054460,6,1.0,30.0,30.0,
Roseville,1034569,085200718740,Sutter Home Sauvignon Blanc 187ml,000054460,6,1.0,30.0,30.0,
St. Louis Park,1034585,085200718740,Sutter Home Sauvignon Blanc 187ml,000054460,6,1.0,30.0,30.0,
Blaine,1034465,08572624,Fre Pinot Grigio N/A 750ml,1027755,12,1.0,80.0,80.0,
Rosemount,1034648,086767210029,Bailey's Irish Cream 1.75L,000056994,6,1.0,210.0,210.0,
Roseville,1034625,086767210098,Bailey's Irish Cream 375ml,5025,12,1.0,148.0,148.0,
Andover,1034621,086767520043,Rumple Minze Liter,000031609,12,1.0,225.0,225.0,
Plymouth,1034657,087000005549,Bulleit Bourbon Liter,000011268,12,1.0,280.0,280.0,
Cottage Grove,1034658,087000007246,Crown Royal Canadian Liter,000004382,12,1.0,315.75,315.75,
Stillwater,1034662,087000007246,Crown Royal Canadian Liter,000004382,12,1.0,315.75,315.75,
Blaine,1034622,087000201484,Captain Morgan Silver Rum 1.75L,000069146,6,1.0,120.0,120.0,
Stillwater,1034662,087000700604,Crown Royal Canadian 1.75L,69484,6,1.0,222.0,222.0,
Andover,1034621,087000700703,Seagrams 7 Blended 1.75L,00001503,6,1.0,90.0,90.0,
Blaine,1034622,087000700703,Seagrams 7 Blended 1.75L,00001503,6,1.0,90.0,90.0,
Roseville,1034625,087116001992,Prairie Organic Gin 50ml,001225547,120,1.0,80.4,80.4,
Roseville,1034625,087116003507,Phillips Blackberry Brandy 1.75L,000030411,6,1.0,115.0,115.0,
Andover,1034621,087116011267,Phillips Vodka Traveler,000033126,12,2.0,66.3,132.6,
Osseo,1034660,087116011267,Phillips Vodka Traveler,000033126,12,1.0,66.3,66.3,
Plymouth,1034657,087116011267,Phillips Vodka Traveler,000033126,12,1.0,66.3,66.3,
Roseville,1034625,087116011267,Phillips Vodka Traveler,000033126,12,1.0,66.3,66.3,
Vadnais Heights,1034669,087116013735,Phillips Vodka 375ml,001609371,24,1.0,95.0,95.0,
Andover,1034621,087116018099,Phillips Vodka 1.75L,000040311,6,2.0,63.03,126.06,
Blaine,1034622,087116018099,Phillips Vodka 1.75L,000040311,6,3.0,63.03,189.09,
Cottage Grove,1034658,087116018099,Phillips Vodka 1.75L,000040311,6,1.0,63.03,63.03,
Plymouth,1034657,087116018099,Phillips Vodka 1.75L,000040311,6,1.0,63.03,63.03,
Ramsey,1034624,087116018099,Phillips Vodka 1.75L,000040311,6,1.0,63.03,63.03,
Rosemount,1034648,087116018099,Phillips Vodka 1.75L,000040311,6,1.0,63.03,63.03,
Roseville,1034625,087116018099,Phillips Vodka 1.75L,000040311,6,1.0,63.03,63.03,
Stillwater,1034662,087116018099,Phillips Vodka 1.75L,000040311,6,1.0,63.03,63.03,
Woodbury,1034626,087116018099,Phillips Vodka 1.75L,000040311,6,2.0,63.03,126.06,
Blaine,1034622,087116019102,Prairie Organic Vodka 1.75L,000014684,6,1.0,152.0,152.0,
Blaine,1034622,087116019126,Prairie Organic Vodka 750ml,001034506,12,1.0,172.22,172.22,
Cottage Grove,1034716,087116048188,Phillips Blackberry Brandy Liter,000064527,12,1.0,142.4,142.4,Store Request
Minneapolis,1034659,087116048614,Phillips Peppermint 60pf 1.75L,000064741,6,1.0,81.23,81.23,
Minneapolis,1034659,08719300,Captain Morgan Spiced Rum Traveler,000011734,12,1.0,124.0,124.0,
St. Louis Park,1034661,08719300,Captain Morgan Spiced Rum Traveler,000011734,12,1.0,124.0,124.0,
Vadnais Heights,1034669,087236001162,Remy Martin VSOP Cognac 750ml,000007930,12,1.0,413.88,413.88,
Minneapolis,1034659,08727008,Captain Morgan Spiced Rum Liter,000005363,12,3.0,165.0,495.0,
Ramsey,1034624,08727008,Captain Morgan Spiced Rum Liter,000005363,12,1.0,165.0,165.0,
St. Louis Park,1034661,08727008,Captain Morgan Spiced Rum Liter,000005363,12,1.0,165.0,165.0,
Andover,1034450,087752005644,Bartenura Moscato 750ml,27656,12,1.0,128.0,128.0,
Minneapolis,1034510,087752005644,Bartenura Moscato 750ml,27656,12,1.0,128.0,128.0,
St. Louis Park,1034585,087752005644,Bartenura Moscato 750ml,27656,12,1.0,128.0,128.0,
Roseville,1034625,088004009373,Fireball Whisky 100ml,1403888,48,1.0,65.0,65.0,
Woodbury,1034626,088004009373,Fireball Whisky 100ml,1403888,48,1.0,65.0,65.0,
Andover,1034621,088004076573,Buzzballz Chiller Pink Lemonsqueezy 187ml,1635330,24,1.0,51.45,51.45,
Bloomington,1034663,088004076603,Buzzballz Biggie Pink Lemonsqueezy 1.75L,1894127,3,1.0,45.0,45.0,
Blaine,1034622,088076188679,Ketel One Espresso Martini 750ml,1013975,12,1.0,207.69,207.69,
Chanhassen,1034623,088076188679,Ketel One Espresso Martini 750ml,1013975,12,1.0,207.69,207.69,
Plymouth,1034657,088076188679,Ketel One Espresso Martini 750ml,1013975,12,1.0,207.69,207.69,
Stillwater,1034662,088076188679,Ketel One Espresso Martini 750ml,1013975,12,1.0,207.69,207.69,
Blaine,1034465,188985000113,Joel Gott Sauv Blanc 750ml,000016453,12,1.0,107.5,107.5,
St. Louis Park,1034585,188985000113,Joel Gott Sauv Blanc 750ml,000016453,12,1.0,107.5,107.5,
Blaine,1034471,188985000120,Joel Gott Zinfandel 750ml,000016457,12,1.0,140.6,140.6,Store Request
Blaine,1034471,188985000694,Joel Gott Red Blend 750ml,000026615,12,1.0,107.5,107.5,Store Request
Minneapolis,1034659,616003203135,Zing Zang RTD Bloody Mary 4pk 12oz can,001435635,6,1.0,58.5,58.5,
Cottage Grove,1034658,616003708777,Zing Zang Bloody Mary 1.75L,001343631,6,1.0,40.12,40.12,
Blaine,1034622,616003737555,Zing Zang Bloody Mary 6pk 8oz can,1646790,4,1.0,26.05,26.05,
Chanhassen,1034623,616003737555,Zing Zang Bloody Mary 6pk 8oz can,1646790,4,1.0,26.05,26.05,
Minneapolis,1034659,674545000063,Don Julio Anejo Tequila 750ml,60368,6,2.0,292.5,585.0,
Blaine,1034471,717888510025,Hess Select Cab Sauv 750ml,000056473,12,1.0,109.0,109.0,Store Request
Cottage Grove,1034499,717888520024,Hess Select Chardonnay 750ml,60137,12,1.0,82.5,82.5,
Andover,1034621,721094199707,Gosling's Ginger Beer 6pk 12oz can,1827689,4,1.0,16.77,16.77,
Blaine,1034622,721094199707,Gosling's Ginger Beer 6pk 12oz can,1827689,4,1.0,16.77,16.77,
Cottage Grove,1034716,721094199707,Gosling's Ginger Beer 6pk 12oz can,1827689,4,6.0,16.77,100.62,Store Request
Minneapolis,1034659,721094199707,Gosling's Ginger Beer 6pk 12oz can,1827689,4,2.0,16.77,33.54,
Plymouth,1034657,721094199707,Gosling's Ginger Beer 6pk 12oz can,1827689,4,1.0,16.77,16.77,
Roseville,1034625,721094199707,Gosling's Ginger Beer 6pk 12oz can,1827689,4,1.0,16.77,16.77,
Stillwater,1034662,721094199707,Gosling's Ginger Beer 6pk 12oz can,1827689,4,1.0,16.77,16.77,
Woodbury,1034626,721094199707,Gosling's Ginger Beer 6pk 12oz can,1827689,4,1.0,16.77,16.77,
Plymouth,1034657,721094199752,Gosling's Diet Ginger Beer 6pk 12oz can,1739707,4,1.0,16.77,16.77,
