Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Chanhassen,1031815,088004144722,Fireball Whisky 375ml,24767,24,1.0,122.5,122.5,
Woodbury,1031923,088004144722,Fireball Whisky 375ml,24767,24,1.0,122.5,122.5,
Woodbury,1031923,088004144739,Fireball Whisky 200ml,1748316,48,1.0,140.0,140.0,
Blaine,1031799,088076177703,Johnnie Walker Double Black 750ml,000019098,6,1.0,180.0,180.0,
Blaine,1031799,088076179028,Talisker Storm 750ml,22693,6,1.0,185.0,185.0,
Osseo,1031850,088110150525,Hennessy VS Cognac 200ml,20584,24,1.0,243.0,243.0,
Blaine,1031799,088110150556,Hennessy VS Cognac 750ml,7955,12,1.0,345.0,345.0,
Osseo,1031850,088110150556,Hennessy VS Cognac 750ml,7955,12,1.0,345.0,345.0,
Roseville,1031881,088110150556,Hennessy VS Cognac 750ml,7955,12,1.0,345.0,345.0,
Roseville,1031881,088110150624,Hennessy VS Cognac 375ml,20585,12,1.0,170.0,170.0,
Woodbury,1031923,088110150624,Hennessy VS Cognac 375ml,20585,12,1.0,170.0,170.0,
Bloomington,1031598,088940000014,Taylor Port 750ml,000076612,12,1.0,80.0,80.0,
Woodbury,1031737,605779976084,Jinro Green Grape 375ml,001760926,20,1.0,96.0,96.0,
Blaine,1031579,605779976527,Jinro Lemon Soju 375ml,1509583,20,1.0,96.0,96.0,
Blaine,1031799,619947000013,Tito's Vodka Liter,22149,12,1.0,218.0,218.0,
Chanhassen,1031815,619947000013,Tito's Vodka Liter,22149,12,1.0,218.0,218.0,
Osseo,1031850,619947000013,Tito's Vodka Liter,22149,12,2.0,218.0,436.0,
Ramsey,1031866,619947000013,Tito's Vodka Liter,22149,12,1.0,218.0,218.0,
Rosemount,1031874,619947000013,Tito's Vodka Liter,22149,12,1.0,218.0,218.0,
Roseville,1031881,619947000013,Tito's Vodka Liter,22149,12,2.0,218.0,436.0,
