Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
St. Louis Park,1030676,080686365204,Dekuyper Peachtree Schnapps Liter,25213,12,1.0,80.0,80.0,
Roseville,1030662,080686368403,Dekuyper C D Menthe White 750ml,233640,12,1.0,97.0,97.0,Store Request
Blaine,1030557,080686408208,Old Grand Dad 100 pf Bourbon Liter,1342,12,1.0,234.0,234.0,
Blaine,1030557,080686821120,Canadian Club 1.75L,970031,6,2.0,96.51,193.02,
Osseo,1030613,080686821120,Canadian Club 1.75L,970031,6,1.0,96.51,96.51,
Rosemount,1030647,080686821120,Canadian Club 1.75L,970031,6,1.0,96.51,96.51,
Stillwater,1030688,080686821120,Canadian Club 1.75L,970031,6,1.0,96.51,96.51,
St. Louis Park,1030676,080686835059,Sauza Hornitos Reposado Tequila 1.75L,963381,6,1.0,174.38,174.38,
Cottage Grove,1030584,080686835325,Sauza Hornitos Plata 750ml,949391,12,1.0,187.4,187.4,
Minneapolis,1030596,080686835325,Sauza Hornitos Plata 750ml,949391,12,1.0,187.4,187.4,
Rosemount,1030647,080686835349,Sauza Hornitos Plata Tequila 1.75L,948669,6,1.0,174.38,174.38,
St. Louis Park,1030676,080686835585,Sauza Hornitos Black Barrel 750ml,352601,12,1.0,315.0,315.0,
Blaine,1030557,080686897170,On the Rocks Margarita 750ml,557126,6,1.0,90.42,90.42,
Andover,1030544,080686929451,Pinnacle Vodka 1.75L,985201,6,1.0,73.29,73.29,
Chanhassen,1030577,080686929451,Pinnacle Vodka 1.75L,985201,6,1.0,73.29,73.29,
Cottage Grove,1030584,080686967026,Cruzan Single Barrel Rum 750ml,981396,6,1.0,135.0,135.0,
Andover,1030544,080686967675,Cruzan Light Rum 1.75L,546410,6,1.0,74.58,74.58,
Plymouth,1030440,081308003337,Chloe Pinot Grigio 750ml,351385,12,1.0,84.0,84.0,
Woodbury,1030529,081308003337,Chloe Pinot Grigio 750ml,351385,12,1.0,84.0,84.0,
Rosemount,1030459,081308003733,Chloe Prosecco 750ml,391252,12,1.0,96.0,96.0,
Andover,1030354,081308004396,Cupcake Butterkissed Chard 750ml,464916,12,1.0,64.0,64.0,
Roseville,1030659,082928114151,Barton Vodka 750ml,21917,12,1.0,61.0,61.0,
Chanhassen,1030577,082928214318,Fleischmanns Vodka 1.75L,11132,6,1.0,54.0,54.0,
Plymouth,1030621,083089524001,Jagermeister 750ml,35253,12,1.0,180.0,180.0,
Cottage Grove,1030584,083089660150,Jagermeister Liter,31393,12,1.0,216.0,216.0,
Stillwater,1030688,083089660174,Jagermeister 1.75L,40495,6,1.0,180.0,180.0,
St. Louis Park,1030676,083089660358,Jagermeister 375ml,602546,12,1.0,103.4,103.4,
Rosemount,1030459,083120015413,Summit Cabernet Sauvignon 3L Box,629479,6,1.0,67.14,67.14,
Stillwater,1030507,083120100195,Franzia Merlot 5L Box,664277,4,1.0,56.0,56.0,
Andover,1030354,083120100393,Franzia Pinot Grigio 5L Box,664272,4,1.0,56.0,56.0,
Bloomington,1030379,083120100393,Franzia Pinot Grigio 5L Box,664272,4,1.0,56.0,56.0,
Chanhassen,1030389,083120100393,Franzia Pinot Grigio 5L Box,664272,4,1.0,56.0,56.0,
Ramsey,1030449,083120100393,Franzia Pinot Grigio 5L Box,664272,4,1.0,56.0,56.0,
Roseville,1030474,083120100393,Franzia Pinot Grigio 5L Box,664272,4,1.0,56.0,56.0,
Blaine,1030370,083120100690,Franzia Chillable Red 5L Box,664290,4,2.0,47.27,94.54,
Blaine,1030370,083120101895,Franzia Cab Sauv 5L Box,664276,4,1.0,56.0,56.0,
Cottage Grove,1030397,083120101895,Franzia Cab Sauv 5L Box,664276,4,1.0,56.0,56.0,
Roseville,1030474,083120101895,Franzia Cab Sauv 5L Box,664276,4,1.0,56.0,56.0,
Blaine,1030370,083120102090,Franzia Chardonnay 5L Box,664270,4,3.0,56.0,168.0,
Minneapolis,1030409,083120102090,Franzia Chardonnay 5L Box,664270,4,1.0,56.0,56.0,
Minnetonka,1030421,083120102090,Franzia Chardonnay 5L Box,664270,4,1.0,56.0,56.0,
Osseo,1030429,083120102090,Franzia Chardonnay 5L Box,664270,4,2.0,56.0,112.0,
St. Louis Park,1030497,083120102090,Franzia Chardonnay 5L Box,664270,4,1.0,56.0,56.0,
Andover,1030354,083120102892,Franzia Crisp White 5L Box,664289,4,1.0,47.27,47.27,
Osseo,1030429,083120102892,Franzia Crisp White 5L Box,664289,4,1.0,47.27,47.27,
Woodbury,1030529,083120102892,Franzia Crisp White 5L Box,664289,4,1.0,47.27,47.27,
Blaine,1030370,083120103196,Franzia White Zinfandel 5L Box,411857,4,1.0,56.0,56.0,
Blaine,1030370,083120103691,Franzia Sunset Blush 5L Box,664304,4,1.0,47.27,47.27,
Cottage Grove,1030397,083120103691,Franzia Sunset Blush 5L Box,664304,4,1.0,47.27,47.27,
Minneapolis,1030409,083120103691,Franzia Sunset Blush 5L Box,664304,4,2.0,47.27,94.54,
Plymouth,1030440,083120103691,Franzia Sunset Blush 5L Box,664304,4,1.0,47.27,47.27,
