upc,Department,Retail,GM %,Deal,Deal Unit Cost,Unit Cost
860009899346,THC,19.99,35,$200 order qty per store,11.0,11.0
860009438057,THC,13.99,33,$200 order qty per store,8.0,8.0
860009899339,THC,19.99,35,$200 order qty per store,11.0,11.0
860009438088,THC,13.99,33,$200 order qty per store,8.0,8.0
860006677695,THC,13.99,33,$200 order qty per store,8.0,8.0
860009899308,THC,19.99,35,$200 order qty per store,11.0,11.0
860009438002,THC,13.99,33,$200 order qty per store,8.0,8.0
860009899360,THC,13.99,33,$200 order qty per store,8.0,8.0
860010316481,THC,10.99,33,$200 order qty per store,6.0,6.0
860006677664,THC,13.99,33,$200 order qty per store,8.0,8.0
810095561689,THC,16.99,34,Direct Ship to Blaine 50cs mix,9.17,9.17
810095561672,THC,16.99,34,Direct Ship to Blaine 50cs mix,9.17,9.17
810095561795,THC,16.99,34,Direct Ship to Blaine 50cs mix,9.17,9.17
810095561665,THC,16.99,34,Direct Ship to Blaine 50cs mix,9.17,9.17
810095561764,THC,40.99,35,Direct Ship to Blaine 100cs Buy,22.0,22.0
810095561528,THC,16.99,34,Direct Ship to Blaine 50cs mix,9.17,9.17
810095561535,THC,16.99,34,Direct Ship to Blaine 50cs mix,9.17,9.17
860011622017,THC,17.99,35,,9.67,9.67
860011319016,THC,17.99,35,,9.67,9.67
860011319009,THC,17.99,35,,9.67,9.67
860011319023,THC,17.99,35,,9.67,9.67
860011622031,THC,30.99,36,,16.67,16.67
860011319047,THC,27.99,35,,15.0,15.0
860009819016,THC,13.99,33,,8.0,8.0
860009819009,THC,13.99,33,,8.0,8.0
860009819023,THC,13.99,33,,8.0,8.0
860002977232,THC,13.99,33,,8.0,8.0
649696491367,THC,17.99,77,,3.5,3.5
649696489111,THC,17.99,77,,3.5,3.5
649696105578,THC,17.99,77,,3.5,3.5
649696010834,THC,17.99,77,,3.5,3.5
649696422354,THC,17.99,77,,3.5,3.5
649696494580,THC,17.99,77,,3.5,3.5
649696478313,THC,17.99,77,,3.5,3.5
649696029430,THC,17.99,77,,3.5,3.5
649696418623,THC,17.99,77,,3.5,3.5
649696009913,THC,17.99,77,,3.5,3.5
420001,THC,17.99,77,,3.5,3.5
850079194021,THC,12.99,39,Pallet Orders,6.67,6.67
850018947985,THC,12.99,39,Pallet Orders,6.67,6.67
850079194007,THC,12.99,39,Pallet Orders,6.67,6.67
850079194045,THC,24.99,33,Pallet Orders,14.0,14.0
199284574168,THC,5.99,37,,3.14,3.14
199284257993,THC,4.99,29,,2.83,2.83
198168773420,THC,11.99,37,,6.3,6.3
196852859160,THC,11.99,37,,6.3,6.3
199284815551,THC,11.99,37,,6.3,6.3
199284589759,THC,4.99,29,,2.83,2.83
199284035843,THC,5.99,37,,3.14,3.14
673658342893,THC,18.99,37,Pallet Buy 104 Case,10.0,10.0
673658342909,THC,18.99,37,Pallet Buy 104 Case,10.0,10.0
673658342923,THC,18.99,37,Pallet Buy 104 Case,10.0,10.0
673658343036,THC,30.99,36,Pallet Buy 104 Case,16.67,20.0
673658343043,THC,24.99,36,Pallet Buy 104 Case,13.34,16.67
673658342886,THC,18.99,37,Pallet Buy 104 Case,10.0,10.0
850013921089,THC,6.99,66,,2.0,2.0
850013921492,THC,14.99,43,,7.33,7.33
850013921249,THC,6.99,66,,2.0,2.0
850013921461,THC,14.99,43,,7.33,7.33
850013921065,THC,6.99,66,,2.0,2.0
850013921058,THC,6.99,66,,2.0,2.0
850013921478,THC,14.99,43,,7.33,7.33
850013921485,THC,14.99,43,,7.33,7.33
850013921560,THC,39.99,35,,22.0,22.0
860008762450,THC,21.99,37,,11.33,11.33
860008762467,THC,21.99,37,,11.33,11.33
860008762443,THC,21.99,37,,11.33,11.33
860012955015,THC,42.99,36,,23.04,26.5
649696068644,THC,3.99,27,,2.15,2.15
649696065605,THC,3.99,27,,2.15,2.15
649696068620,THC,3.99,27,,2.15,2.15
811194039611,THC,24.99,36,Case 1,13.33,13.33
811194035583,THC,10.99,39,Case 1,5.5,5.5
811194034913,THC,10.99,39,Case 1,5.5,5.5
811194039574,THC,24.99,36,Case 1,13.33,13.33
811194035644,THC,10.99,39,Case 1,5.5,5.5
811194035590,THC,10.99,39,Case 1,5.5,5.5
811194034920,THC,10.99,39,Case 1,5.5,5.5
811194034128,THC,10.99,39,Case 1,5.5,5.5
811194034111,THC,10.99,39,Case 1,5.5,5.5
859990007441,THC,15.99,33,,8.67,8.67
859990007106,THC,49.99,36,,27.0,27.0
859990007380,THC,15.99,33,,8.67,8.67
850011431962,THC,16.99,34,"10 Free on 104, 3 from Stigma, 7 from Artisan",9.15,10.03
860014678462,THC,19.99,37,,10.71,10.71
850011431979,THC,16.99,34,"10 Free on 104, 3 from Stigma, 7 from Artisan",9.15,10.03
850011431948,THC,16.99,34,"10 Free on 104, 3 from Stigma, 7 from Artisan",9.15,10.03
850011431986,THC,16.99,34,"10 Free on 104, 3 from Stigma, 7 from Artisan",9.15,10.03
850011431955,THC,16.99,34,"10 Free on 104, 3 from Stigma, 7 from Artisan",9.15,10.03
860014678400,THC,42.99,40,"10 Free on 104, 3 from Stigma, 7 from Artisan",21.7,25.7
860014678486,THC,42.99,40,"10 Free on 104, 3 from Stigma, 7 from Artisan",21.7,25.7
850011431788,THC,42.99,33,"10 Free on 104, 3 from Stigma, 7 from Artisan",24.2,26.52
850058379067,THC,19.99,34,Support with Free cs from SJ,11.2,14.0
850058379029,THC,18.99,34,,10.58,10.58
850058379173,THC,19.99,34,Support with Free cs from SJ,11.2,14.0
850058379098,THC,18.99,34,,10.58,10.58
850058379128,THC,19.99,34,Support with Free cs from SJ,11.2,14.0
850058379043,THC,12.99,36,,7.06,10.58
198715102017,THC,9.99,35,Direct Ship to Blaine,5.2,5.2
198715221473,THC,9.99,35,Direct Ship to Blaine,5.2,5.2
198715344844,THC,9.99,35,Direct Ship to Blaine,5.2,5.2
198715463590,THC,9.99,35,Direct Ship to Blaine,5.2,5.2
198715216912,THC,9.99,35,Direct Ship to Blaine,5.2,5.2
198715716610,THC,9.99,35,Direct Ship to Blaine,5.2,5.2
860009350953,THC,5.99,35,,3.2,3.2
860009350946,THC,5.99,35,,3.2,3.2
860009350908,THC,13.99,33,,8.0,8.0
850009601247,THC,19.99,37,,10.67,10.67
850009601223,THC,19.99,37,,10.67,10.67
850009601230,THC,19.99,37,,10.67,10.67
850009601407,THC,29.99,36,,16.0,16.0
810091530252,THC,18.99,35,,10.33,10.33
810091530368,THC,18.99,35,,10.33,10.33
810091530849,THC,24.99,36,,13.33,13.33
810012698610,THC,23.99,37,,12.6,13.92
810012698634,THC,23.99,37,,12.6,13.92
810012698597,THC,23.99,37,,12.6,13.92
810012693882,THC,21.99,37,,11.36,13.33
850039736483,THC,3.99,44,,1.67,1.67
850039736346,THC,18.99,37,,10.0,10.0
850039736322,THC,18.99,37,,10.0,10.0
850039736490,THC,3.99,44,,1.67,1.67
850039736551,THC,18.99,37,,10.0,10.0
850039736544,THC,18.99,37,,10.0,10.0
850039736469,THC,3.99,44,,1.67,1.67
850039736476,THC,3.99,44,,1.67,1.67
850039736650,THC,48.99,36,,26.4,26.4
850039736667,THC,48.99,36,,26.4,26.4
850039736353,THC,18.99,37,,10.0,10.0
850039736339,THC,18.99,37,,10.0,10.0
852449007429,THC,41.99,36,Case 1,22.35,27.85
852449007986,THC,15.99,33,Case 1,8.68,10.85
852449007931,THC,15.99,33,Case 1,8.68,10.85
852449007740,THC,15.99,33,Case 1,8.68,10.85
852449007979,THC,15.99,33,Case 1,8.68,10.85
649696014825,THC,15.99,36,,8.33,8.33
649696405449,THC,15.99,36,,8.33,8.33
649696006370,THC,15.99,36,,8.33,8.33
784196719259,THC,15.99,31,,9.0,9.0
784196719242,THC,15.99,31,,9.0,9.0
850007584825,THC,15.99,31,,9.0,9.0
850007584917,THC,15.99,31,,9.0,9.0
784196719273,THC,15.99,-81,,23.5,23.5
850046271397,THC,19.99,34,FG From Supplier,11.2,12.0
850046271380,THC,19.99,34,FG From Supplier,11.2,12.0
850046271298,THC,19.99,34,FG From Supplier,11.2,12.0
850018947916,THC,3.99,44,,1.67,1.67
850018947893,THC,3.99,44,,1.67,1.67
850018947404,THC,16.99,36,,9.0,9.0
850018947510,THC,12.99,0,Pallet Orders,10.99,10.99
850018947961,THC,12.99,0,Pallet Orders,10.99,10.99
850018947718,THC,17.99,27,,10.99,10.99
850018947879,THC,17.99,27,,10.99,10.99
850018947640,THC,33.99,28,,20.0,20.0
850018947541,THC,33.99,28,,20.0,20.0
196852875160,THC,15.99,44,Case 1 Upfront,8.38,8.38
198715066937,THC,16.99,36,,9.0,9.0
196852500505,THC,15.99,44,Case 1 Upfront,8.38,8.38
198715172546,THC,15.99,35,,8.37,8.37
196852039432,THC,15.99,44,Case 1 Upfront,8.38,8.38
198715546675,THC,16.99,36,,9.0,9.0
198715139464,THC,16.99,36,,9.0,9.0
198715683899,THC,37.99,141,,20.55,20.55
197644343683,THC,30.99,41,Case 1 Upfront,16.5,16.5
51497359409,THC,18.99,37,,10.0,10.0
51497154110,THC,18.99,37,Kiwi Strawberry (Pink),10.0,10.0
51497359386,THC,18.99,37,Yellow,10.0,10.0
51497436940,THC,18.99,37,Green,10.0,10.0
51497411770,THC,15.99,36,Currently Anytime (Blue)  – Changing to Nighttime,8.33,8.33
51497411794,THC,18.99,37,Yellow (Daytime),10.0,10.0
51497359393,THC,18.99,37,Purple,10.0,10.0
51497436933,THC,18.99,37,Red,10.0,10.0
810023141013,THC,15.99,36,Blackberry Lemon (Purple),8.33,8.33
852955008002,Spirits,22.75,2275,135,,
852955008026,Spirits,22.75,2275,135,,
80686833697,Spirits,12.07,1207,144,,
730699618544,Spirits,34.08,3408,203,,
730669325717,Spirits,47.92,4792,286.02,,
88004030711,Spirits,40.02,4002,239,,
80660001203,Spirits,24.13,2413,144,,
80660001166,Spirits,30.13,3013,180,,
88004027971,Spirits,30.13,3013,180,,
80660001159,Spirits,33.67,3367,201,,
80660001142,Spirits,30.19,3019,180,,
818844029671,Spirits,11.98,1198,142.72,,
811538010375,Spirits,18.3,1830,218.49,,
818844029367,Spirits,12.69,1268,151.12,,
811538010238,Spirits,19.4,1940,231.75,,
811538010252,Spirits,31.09,3109,215.96,,0.03
811538010122,Spirits,10.64,1064,126.59,,
811538010139,Spirits,17.9,1790,213.75,,
811538010153,Spirits,26.59,2659,189,,0.03
811538010108,Spirits,6.34,634,151,,
811538010221,Spirits,11.96,1196,142.4,,
818844026465,Spirits,13.1,1310,77.52,,
