Product Description,Product UPC,Department,Category (for markup),Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net Unit Cost,Net Case Cost,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Item Number,Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Markup %,Invoice Price,Neilson,Total Wine,Cub,Color
Phillips Vodka 100pf,087116063846,Liquor,Vodka,1.75L,6,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,18.516666666666666,111.1,120,25.99,24.071666666666665,0.23076923076923078,110,,000074005,21.99,0,0,,0.3,110,,,,
Pierre Ferrand 1st Cru,695521151425,Liquor,,750ml,6,Cognac Ferrand,Bellboy Corporation,,ALL,33.166666666666664,199,198,42.99,,0.22850275257811903,198,198,6961904,,,,,0.3,198,,,,
Pierre Ferrand Ambre Cognac,695521121015,Liquor,Brandy,750ml,6,Cognac Ferrand,Bellboy Corporation,1CS Free on 10CS -across chain monthly accum,ALL,33.5,201,220,47.99,40.95,0.18192918192918198,220,220,6961854,48.99,40.95,0,,0.3,220,,,,
Pierre Ferrand Dry Curacao,695521151449,Liquor,Cordials,750ml,6,Cognac Ferrand,Bellboy Corporation,,ALL,24.5,147,146,31.99,,0.23413566739606123,146,146,6961954,31.99,0,0,31.99,0.3,146,,,,
Pig's Nose Scotch Whisky,087647074427,Liquor,,750ml,6,Shaw Ross,Bellboy Corporation,,ALL,23.833333333333332,143,142,30.99,,0.2309347101215446,142,142,8197224,,,,,0.3,142,,,,
PIKE CREEK CANADIAN WHISKY 10YR 84,048415520621,Liquor,,750ml,6,Sazerac,Southern Wine & Spirits, ,ALL,22.62666666666667,135.76000000000002,143.96,30.99,,0.2698720017209852,134.96,134.96,417744,,,,,0.3,134.96,,,,
Pikesville Straight Rye,096749000814,Liquor,Whisky/Whiskey,750ml,6,Heaven Hill,Bellboy Corporation,,ALL,37.666666666666664,226,225,48.99,,0.2311356059059673,225,225,8373244,46.99,0,0,,0.3,225,,,,
Pikesville Straight Rye,096749000814,Liquor,Whisky/Whiskey,750ml,6,Heaven Hill,Southern Wine & Spirits,,ALL,42.876666666666665,257.26,256.46,55.99,,0.23420848961124016,256.46,256.46,388153,46.99,0,0,,0.3,256.46,,,,
PIMMS CUP 50,088004143541,Liquor,Cordials,750ml,12,Diageo,Southern Wine & Spirits,,ALL,16.483333333333334,197.8,205.95,21.99,,0.25041685614673326,197,197,32752,25.99,0,0,,0.3,197,,,,
Pimms No 1,088004143541,Liquor,Cordials,750ml,12,Diageo,Bellboy Corporation,,ALL,16.666666666666668,200,199,21.99,,0.242079733212066,199,199,8259714,25.99,0,0,,0.3,199,,,,
Pimms No 1,088004143541,Liquor,Cordials,750ml,12,Diageo/UBI,Johnson Brothers Liquor Co,Case 1,ALL,16.841666666666665,202.1,201,21.99,,0.23412157041079282,201,201,000007062,25.99,0,0,,0.3,201,,,,
Pinhook (Dark Blue) Kentucky High Proof Rye 2022,860001779615,Liquor,Whisky/Whiskey,750ml,6,Pinhook,The Wine Company, ,ALL,37.25,223.5,236,50.99,,0.2694646009021377,222,222,26363,0,0,0,,0.3,222,,,,
Pinhook (Gold) Kentucky Vertical Series Bourbon 7yr,860006826130,Liquor,Whisky/Whiskey,750ml,6,Pinhook,The Wine Company, ,ALL,57.583333333333336,345.5,364,78.99,,0.27100476853610156,344,344,26369,0,0,0,,0.3,344,,,,
Pinhook (Green) Kentucky Straight Rye,860001779646,Liquor,,750ml,6,Pinhook,The Wine Company, ,ALL,24.972222222222225,149.83333333333334,178,38.99,,0.3595223846570345,178,178,26368,,,,,0.3,178,,,,
Pinhook (Magenta) Kentucky High Proof Bourbon 2022,860001779677,Liquor,Whisky/Whiskey,750ml,6,Pinhook,The Wine Company, ,ALL,41.916666666666664,251.5,274,58.99,,0.28942758659659834,250,250,26362,49.99,0,0,,0.3,250,,,,June 1 Update
Pinhook (Orange) Kentucky Straight Bourbon,860001779660,Liquor,Whisky/Whiskey,750ml,6,Pinhook,The Wine Company,,ALL,24.972222222222225,149.83333333333334,178,38.99,,0.3595223846570345,178,178,26365,41.99,34.96,0,,0.3,178,,,,
Pinnacle Vod 80 50ml,080686929444,Liquor,Vodka,750ml,120,Beam/Suntory,Southern Wine & Spirits,,ALL,0.5416666666666666,65,64.2,0.99,,0.4528619528619529,64.2,64.2,000984752,1.49,1.24,0,,0.3,64.2,,,,
