REMOVE?,Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,Department,Size,Units/Case,Deal Description,Buy Months (if appl.),Case 1 (Retail),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value,Buy Qty,Free Qty,EO $,EO Cases,EO Period,EO Notes,Net Case,Net/Unit,Net Case EO,Net Cs EO/Unit,Retail,Club,GM%,Competitor Pricing,Distributor (1)
REMOVE,,Southern Wine & Spirits,STE MICHELLE WINE ESTATES,155038,088586003493,14 Hands Riesling,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,TERLATO WINES INTERNATIONAL,539761,086891083599,Alta Mora Etna Rosso,Wine,750 ml,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,STE MICHELLE WINE ESTATES,339374,088586005459,Antinori Cristina Le Maestrelle,Wine,750 ml,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
rEMOVE,,Southern Wine & Spirits,CLASSICA SPA/MHW LTD,004441,8015479151148,Avignonesi Cantaloro,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,FOLEY FAMILY WINES INC,517721,089819796885,Chateau St Jean Merlot,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,STE MICHELLE WINE ESTATES,183017,088586003455,Columbia Crest H3 Chardonnay,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,STE MICHELLE WINE ESTATES,062409,088586703935,Columbia Crest TV Chardonnay,Wine,1.5 L,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,STE MICHELLE WINE ESTATES,399985,088586001215,CSM Meritage Artist Series,Wine,750 ml,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,STE MICHELLE WINE ESTATES,948777,088586010644,CSM Red Blend Limited Release 17,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,FOLEY FAMILY WINES INC,925187,742651634103,Ferrari Carano West Face Prevail,Wine,,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,PREMIUM PORT WINES,000000,094799011064,Graham's Vintage Porto 2011,Wine,750 ml,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,PREMIUM PORT WINES,915888,094799011200,Graham's Vintage Porto 2016,Wine,750 ml,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,PERNOD RICARD USA,061078,080432404355,Jacob's Creek Cab/Merlot,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,PERNOD RICARD USA,138778,080432340028,Jacobs Creek Chardonnay,Wine,1.5 L,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,EUROPVIN SAS,469536,8437013426473,Macan Rioja,Wine,750 ml,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,CONSTELLATION BRANDS,915532,086003251205,Meiomi Sparkling,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,CONSTELLATION BRANDS,323872,086003001602,Robert Mondavi Coastal Cab,Wine,1.5 L,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,CONSTELLATION BRANDS,516683,083085220266,Robert Mondavi Maestro,Wine,750 ml,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,CONSTELLATION BRANDS,901286,086003061941,Robert Mondavi Oakville Fume,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,CONSTELLATION BRANDS,327794,086003291935,Robert Mondavi PS Zinfandel,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,CONSTELLATION BRANDS,342859,083085430016,Rosatello Rose,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,CONSTELLATION BRANDS,342853,083085430023,Rosatello Rosso,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,FOLEY FAMILY WINES INC,940931,088232005444,Sebastiani Sauvignon Blanc,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,FOLEY FAMILY WINES INC,991664,088232002634,Sebastiani Sonoma Merlot,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,TAUB FAMILY SELECTIONS,893633,086785121413,Secco Bertani Verona Rosso,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,SILVER OAK CELLARS,479485,055125553115,Silver Oak Alex Cab Sauv 14,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,SILVER OAK CELLARS,949098,400000004907,Silver Oak Alex Cab Sauv 15,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,SILVER OAK CELLARS,969776,400000011097,Silver Oak Alex Cab Sauv 16,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,SILVER OAK CELLARS,959089,400000019598,"Silver Oak Napa Cab Sauv 
2015",Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,SILVER OAK CELLARS,380087,554342010,Silver Oak Napa Cab Sauv 2010,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,SILVER OAK CELLARS,988045,400000020938,Silver Oak Napa Cab Sauv 2016,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,BRONCO WINE CO,059435,089819117246,Stone Cellars Cab Sauv,Wine,1.5 L,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,BRONCO WINE CO,059433,089819117420,Stone Cellars Chardonnay,Wine,1.5 L,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,BRONCO WINE CO,087072,089819727667,Stone Cellars Pinot Grigio,Wine,1.5 L,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,WINEBOW INC,081964,098709270107,Tasca D'Almerita Regaleali,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,SILVER OAK CELLARS,969775,511201655126,Twomey Merlot,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,FREIXENET MIONETTO USA,937237,816253010068,Villa di Capezzano Carmignano,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,NW WINE CO LLC,483809,858902004639,WestMount Pinot Grigio,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
REMOVE,,Southern Wine & Spirits,CONSTELLATION BRANDS,405089,086003820340,Woodbridge Cab Sauv Stacked,Wine,4x187 ml,6,,All,,,,,,,,,,,0,0,,,-0.01,,1,,Southern Wine & Spirits
