Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Margin %,30D Units,90D Units,By Store OH
Stay-Chill Slim Can Cooler in Lagoon,Accessories,"True Brands, Inc.",4,0.0,,0.0,22.99,100,0,0,Chanhassen:4
Taste of Florida Grenadine Liter,Mixes,"Capitol Beverage Sales, L.P.",7,0.0,,3.6,5.99,40,0,0,Plymouth:7
Take Life With A Grain of Salt Napkin,Accessories,"True Brands, Inc.",4,0.0,,0.24,5.99,96,0,0,Minnetonka:4
Syx Wild Cherry 12mg,Smokeless,"M Amundson, LLP",5,0.0,,7.09,10.99,35,0,0,Minneapolis:5
Syx Spearmint 20mg,Smokeless,"M Amundson, LLP",15,0.0,,7.09,10.99,35,0,0,Minneapolis:15
Syx Spearmint 12mg,Smokeless,"M Amundson, LLP",5,0.0,,7.09,10.99,35,0,0,Minneapolis:5
Syx Icy Cola 6mg,Smokeless,"M Amundson, LLP",6,0.0,192.9,7.09,10.99,35,0,1,Minneapolis:6
Loon Spearmint 7mg,Smokeless,"M Amundson, LLP",127,0.0,,6.0,8.99,33,0,0,Minneapolis:127
Loon Pouches Wintergreen 28mg 20pk,Smokeless,"M Amundson, LLP",0,0.0,0.0,6.0,8.99,33,0,1,
Loon Pouches Spearmint 28mg 20pk,Smokeless,"M Amundson, LLP",1,0.0,,6.0,8.99,33,0,0,Minneapolis:1
Loon Pouches Polar Bear Freeze 14mg 20pk,Smokeless,"M Amundson, LLP",28,0.0,,6.0,8.99,33,0,0,Minneapolis:28
Loon Pouches Polar Bear Fr 28mg 20pk,Smokeless,"M Amundson, LLP",0,0.0,,6.0,8.99,33,0,0,
Loon Pouches Gum Mint 28mg 20pk,Smokeless,"M Amundson, LLP",0,0.0,,6.0,8.99,33,0,0,
Loon Pouches Bad Bull 28mg 20pk,Smokeless,"M Amundson, LLP",0,0.0,,6.0,8.99,33,0,0,
Loon Pouches Artic Mint 28mg 20pk,Smokeless,"M Amundson, LLP",0,0.0,,6.0,8.99,33,0,0,
Loon Pouches Artic Mango 14mg 20pk,Smokeless,"M Amundson, LLP",0,0.0,,6.0,8.99,33,0,0,
Pepsi 6pk 8oz can,Mixes,Pepsi-Cola,0,0.0,0.0,3.28,4.99,34,0,1,
Pepsi 16.9oz,Mixes,Walmart,5,0.0,,0.51,2.29,78,0,0,Rosemount:1;Chanhassen:4
Pepsi 12oz can,Mixes,,1,0.0,,0.0,0.99,100,0,0,Chanhassen:1
Syx Cool Mint 12mg,Smokeless,"M Amundson, LLP",0,0.0,,7.09,10.99,35,0,0,
Syx Blueberry 6mg,Smokeless,"M Amundson, LLP",9,0.0,289.3,7.09,10.99,35,0,1,Minneapolis:9
Fever Tree Distiller's Cola 4pk 6.7oz btl,Mixes,Southern Glazer's Wine & Spirits of MN,3,0.0,96.4,0.0,6.99,100,0,1,Roseville:3
Fee Brothers Lemon Bitters 5oz,Mixes,Bellboy Corporation,2,0.0,64.3,7.34,14.99,51,0,1,Chanhassen:2
Fee Brothers Grapefruit Btrs 5oz,Mixes,Bellboy Corporation,5,0.0,,6.53,14.99,56,0,0,Chanhassen:5
Fee Brothers Cherry Bitters 4oz,Mixes,Bellboy Corporation,11,0.0,,1.32,14.99,91,0,0,Woodbury:11
Fast Mary's Hot Bloody Mary 16oz,Mixes,,0,0.0,,6.49,9.99,35,0,0,
Fanta Strawberry 20oz,Mixes,Great Lakes Coca-Cola Distribution,0,0.0,,1.03,2.19,53,0,0,
Top Ten 12 oz tall Can Koozie,Accessories,Coolie Nation,22,0.0,,1.29,2.99,57,0,0,Rosemount:22
Timberwolves Bottle Cooler,Accessories,Bellboy Corporation,5,0.0,,5.45,10.99,50,0,0,Minneapolis:5
Tequila Lime Sunshine 9 Oz Cups Blush (Set of 12),Accessories,"True Brands, Inc.",11,0.0,353.6,4.79,11.49,58,0,1,Minneapolis:11
Loon Wintergreen 7mg,Smokeless,"M Amundson, LLP",0,0.0,,6.0,8.99,33,0,0,
Party Essentials Champ Flutes,Accessories,,1,0.0,,0.36,6.99,95,0,0,Minneapolis:1
Party Essentials 8oz Wine Glasses,Accessories,"M Amundson, LLP",0,0.0,,0.4,5.99,93,0,0,
Party Essentials 1oz shot glasses,Accessories,"M Amundson, LLP",0,0.0,,1.4,3.99,65,0,0,
Parliament White Menthol,Cigarettes,"M Amundson, LLP",0,0.0,,13.94,16.99,18,0,0,
Parliament Silver,Cigarettes,,25,0.0,803.6,13.94,16.99,18,0,1,Cottage Grove:25
Owen's Transfusion Grape & Ginger Ale 250ml,Mixes,Phillips Wine & Spirits - St. Paul,0,0.0,,4.67,7.99,42,0,0,
Owen's Mint Cucumber Lime 250ml,Mixes,Phillips Wine & Spirits - St. Paul,2,0.0,,5.33,9.99,47,0,0,Andover:2
Tattersall Habanero Bitters 5oz,Mixes,Phillips Wine & Spirits - St. Paul,7,0.0,,10.5,17.99,42,0,0,Stillwater:7
Taste of Florida Margarita Mix Liter,Mixes,"Capitol Beverage Sales, L.P.",16,0.0,,4.14,5.99,31,0,0,Plymouth:16
Coke Diet 16.9oz,Mixes,Walmart,30,0.0,,0.75,2.29,67,0,0,Rosemount:10;St. Louis Park:20
Coke Diet 12oz btl,Mixes,,0,0.0,0.0,0.0,0.99,100,0,1,
Fanta Pineapple 20oz,Mixes,Great Lakes Coca-Cola Distribution,0,0.0,,0.82,2.19,63,0,0,
Fanta Fruit Punch 20oz btl,Mixes,Great Lakes Coca-Cola Distribution,6,0.0,192.9,2.01,3.49,43,0,1,Minneapolis:6
Fanta Berry 20oz,Mixes,Great Lakes Coca-Cola Distribution,0,0.0,,1.55,2.19,29,0,0,
Tres Agaves Agave Nectar Liter,Mixes,Phillips Wine & Spirits - St. Paul,0,0.0,,11.67,11.99,3,0,0,
Marlboro Silver 72s,Cigarettes,"M Amundson, LLP",15,0.0,,12.56,14.99,16,0,0,Cottage Grove:15
On Nicotine Pouch 8mg Coffee,Smokeless,"M Amundson, LLP",4,0.0,128.6,6.56,11.49,43,0,1,Minneapolis:4
On Nicotine Pouch 8mg Citrus,Smokeless,"M Amundson, LLP",4,0.0,,6.56,11.49,43,0,0,Minneapolis:4
Newport Gold,Cigarettes,,25,0.0,803.6,13.25,15.99,17,0,1,Osseo:3;Andover:22
Natural American Spirit Sky,Cigarettes,,15,0.0,482.1,14.37,16.99,15,0,1,Andover:15
NOS Grape 16oz can,Mixes,Great Lakes Coca-Cola Distribution,24,0.0,,1.87,2.49,25,0,0,Andover:3;Ramsey:21
NOS Energy Drink 16oz can,Mixes,Great Lakes Coca-Cola Distribution,28,0.0,,2.01,2.99,33,0,0,Andover:7;Ramsey:21
Travel Corkscrew/Bottle opener,Accessories,"M Amundson, LLP",0,0.0,,0.26,1.49,82,0,0,
Travel Corkscrew,Accessories,,27,0.0,,0.44,0.99,56,0,0,Osseo:27
Dr. Pepper Zero 12pk 12oz can,Mixes,Pepsi-Cola,0,0.0,,7.18,12.49,43,0,0,
Dr. Pepper 16.9oz,Mixes,Walmart,23,0.0,,0.69,2.29,70,0,0,St. Louis Park:4;Chanhassen:6;Blaine:13
Dr Pepper 10pk 8oz can,Mixes,Pepsi-Cola,2,0.0,64.3,4.37,6.49,33,0,1,St. Louis Park:2
Double Gift Bag,Accessories,,1,0.0,32.1,0.0,2.99,100,0,1,Chanhassen:1
UM Gopher Can Holder 16oz,Accessories,Bellboy Corporation,0,0.0,,4.6,8.99,49,0,0,
Twine Bottle Opener,Accessories,,0,0.0,,1.79,2.99,40,0,0,
Twang Pickle Rimming Salt 4oz,Condiments,Bellboy Corporation,0,0.0,,3.09,5.99,48,0,0,
Turtle Black & Tan Bottle Opener,Accessories,,13,0.0,,0.0,11.99,100,0,0,Ramsey:3;Cottage Grove:10
MTN Dew Baja Blast Zero 20oz btl,Mixes,Pepsi-Cola,0,0.0,,0.0,2.99,100,0,0,
NFL Zipper Bottle Cooler,Accessories,,5,0.0,,3.5,4.99,30,0,0,Woodbury:5
My Glass Tags,Accessories,,4,0.0,,1.75,2.99,41,0,0,Cottage Grove:4
Muddle & Mint Hibiscus-Sage 4pk 8oz can,Mixes,Am Craft Spirits,0,0.0,,8.89,15.99,44,0,0,
Muddle & Mint Hibiscus-Sage 32oz,Mixes,Small Lot MN,1,0.0,,6.17,12.99,53,0,0,Chanhassen:1
Muddle & Mint Green Tea-Mint 4pk 8oz can,Mixes,Am Craft Spirits,0,0.0,,8.67,15.99,46,0,0,
Muddle & Mint Green Tea-Mint 32oz,Mixes,Small Lot MN,8,0.0,,5.81,12.99,55,0,0,Chanhassen:8
Mr Pure Pineapple Orange 32oz,Mixes,"Capitol Beverage Sales, L.P.",0,0.0,,2.05,4.99,59,0,0,
Dashfire Lime Bitters 100ml,Mixes,Am Craft Spirits,2,0.0,,9.86,15.99,38,0,0,Plymouth:2
Dashfire Grapefruit Bitters 100ml,Mixes,Am Craft Spirits,0,0.0,,9.97,15.99,38,0,0,
VacuVin Aerator,Accessories,,0,0.0,,6.52,11.99,46,0,0,
Vacu Vin 2-Piece Set,Accessories,"True Brands, Inc.",6,0.0,192.9,5.76,11.49,50,0,1,Andover:1;Cottage Grove:1;Plymouth:4
Untitled Art Juicy IPA/Florida Weisse,N/A Beer,,0,0.0,,0.0,4.89,100,0,0,
Umbrella Picks 20 pack,Accessories,"True Brands, Inc.",3,0.0,,1.12,2.99,63,0,0,Minnetonka:3
Egbert's Brandied Cherries 11oz,Condiments,,0,0.0,,9.56,14.99,36,0,0,
Marlboro NXT,Cigarettes,,9,0.0,,12.56,14.99,16,0,0,Cottage Grove:9
Marlboro Midnight,Cigarettes,,0,0.0,,12.11,14.99,19,0,0,
Master of Mixes Manhattan Liter,Mixes,Johnson Brothers - St. Paul,6,0.0,,3.62,5.99,40,0,0,Ramsey:6
Master of Mixes Grenadine 375ml,Mixes,,0,0.0,,0.0,4.49,100,0,0,
Master of Mixes Cosmopolitan Liter,Mixes,Johnson Brothers - St. Paul,7,0.0,,3.33,5.99,44,0,0,Chanhassen:7
Mass Kraft BEER Bag,Accessories,"True Brands, Inc.",0,0.0,,1.99,6.99,72,0,0,
Marlboro Sp. Blend Red 100,Cigarettes,"M Amundson, LLP",32,0.0,,12.56,14.99,16,0,0,Cottage Grove:32
Marlboro Sp. Blend Red,Cigarettes,,62,0.0,,12.56,14.99,16,0,0,Cottage Grove:19;Andover:43
Drink of Choice Liquor Bag by Cakewalk,Accessories,"True Brands, Inc.",0,0.0,,1.33,4.99,73,0,0,
Viski Stainless Steel Cocktail Pick Set,Accessories,"True Brands, Inc.",1,0.0,,5.09,8.99,43,0,0,Blaine:1
Virginia Slim Menthol Silver 120,Cigarettes,,15,0.0,,13.94,16.99,18,0,0,Andover:15
Velo Wintergreen 3mg ,Smokeless,"M Amundson, LLP",14,0.0,450.0,8.41,11.49,27,0,1,Minneapolis:14
Dashfire Spiced Apple Bitters 100ml,Mixes,Am Craft Spirits,0,0.0,,10.79,17.49,38,0,0,
Bumble Bee Stir Sticks by Twine,Accessories,"True Brands, Inc.",7,0.0,225.0,7.88,23.99,67,0,1,St. Louis Park:7
Milk & Cookies 6PK Beer Bag,Accessories,,0,0.0,,0.0,2.99,100,0,0,
Merry and Bright Stripes Wine Bag,Accessories,"True Brands, Inc.",0,0.0,,1.41,3.49,60,0,0,
Merit Gold,Cigarettes,,51,0.0,,15.13,17.99,16,0,0,Cottage Grove:51
Mello Yello 2L,Mixes,Great Lakes Coca-Cola Distribution,3,0.0,,1.83,3.29,44,0,0,St. Louis Park:3
Master of Mixes Sweet N Sour Liter,Mixes,Johnson Brothers - St. Paul,0,0.0,,3.52,5.99,41,0,0,
Mr & Mrs T Pina Colada 1.75L,Mixes,"Breakthru Beverage Minnesota Wine & Spirits, LLC",0,0.0,,5.33,9.99,47,0,0,
Mountain Dew Diet 16.9oz,Mixes,Walmart,33,0.0,1060.7,0.5,2.29,78,0,1,Osseo:9;Chanhassen:24
Mountain Dew Amp Tallboy 4pk 16oz can,Mixes,Pepsi-Cola,41,0.0,,1.54,1.99,23,0,0,Roseville:13;Blaine:28
Mixly Pineapple Basil Lime 16oz,Mixes,Origin Wine & Spirits,22,0.0,,11.36,17.49,35,0,0,Minnetonka:3;St. Louis Park:19
Minute Maid Lemonade 16.9oz,Mixes,Walmart,0,0.0,,0.86,2.29,62,0,0,
Mountain Dew 16.9oz,Mixes,Walmart,10,0.0,,0.89,2.49,64,0,0,Plymouth:3;St. Louis Park:7
Montecristo Brown - Double Corona Toro,Cigars,,21,0.0,,12.66,20.99,40,0,0,Vadnais Heights:6;Blaine:15
Cactus Crystal Stemless Champagne Flutes,Accessories,"True Brands, Inc.",0,0.0,0.0,13.74,33.49,59,0,1,
Agalima Organic Marg Mix 750ml,Mixes,Johnson Brothers - St. Paul,0,0.0,,7.33,14.99,51,0,0,
Zyn Pouch 3mg Coffee,Smokeless,"M Amundson, LLP",1,0.0,,8.41,11.49,27,0,0,Minneapolis:1
Wine Glass - I Make Wine Disappear,Accessories,,121,0.0,3889.3,1.0,4.49,78,0,1,Plymouth:3;Woodbury:10;Chanhassen:15;Stillwater:15;Cottage Grove:17;Vadnais Heights:18;Rosemount:19;Roseville:24
Copenhagen Long Cut,Smokeless,,37,0.0,,11.12,13.99,20,0,0,Cottage Grove:7;Minneapolis:8;Blaine:22
Zyn 6mg Chill,Smokeless,"M Amundson, LLP",1,0.0,,8.41,11.49,27,0,0,Minneapolis:1
Zoa White Peach 12oz can,Mixes,"Breakthru Beverage Minnesota Beer, LLC",22,0.0,,1.49,2.99,50,0,0,Minneapolis:22
7- Piece Bar Essentials Set by Viski,Accessories,"True Brands, Inc.",3,0.0,,39.14,79.99,51,0,0,Blaine:3
1919 Root Beer 16oz,Mixes,,0,0.0,,5.76,,,0,0,
