Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Margin %,30D Units,90D Units,By Store OH
Lift Bridge Mini Donut Cream Soda 4pk 16oz can,Mixes,,161,0.7,240.7,3.36,6.99,52,3,8,Woodbury:3;Cottage Grove:5;Blaine:153
Spooky Lime Juice 32oz,Mixes,Bellboy Corporation,41,0.7,56.1,4.42,8.99,51,3,10,Cottage Grove:4;Blaine:6;Andover:9;Bloomington:11;St. Louis Park:11
Bamboo: Appetizer Picks,Accessories,"True Brands, Inc.",66,0.7,90.3,1.23,1.99,38,3,10,Blaine:2;Andover:8;Woodbury:8;Roseville:9;St. Louis Park:12;Plymouth:13;Stillwater:14
La Croix Lime 8pk 12oz can,Mixes,,7,0.7,10.5,4.17,4.99,16,3,8,Blaine:7
Liquid Death Sparkling Water 19.2oz can,Mixes,"College City Beverage, Inc.",16,0.7,22.4,1.33,1.99,33,4,5,Woodbury:16
Fresh Limes,,,102,0.7,149.0,0.21,,,4,4,Ramsey:102
Liquid Death Severed Lime 19oz can,Mixes,"Capitol Beverage Sales, L.P.",8,0.7,12.2,1.41,1.99,29,2,12,Minneapolis:1;Woodbury:7
1919 Zero Sugar Root Beer 12pk 16oz can,Mixes,Dahlheimer Beverage Monticello,13,0.7,18.6,15.04,18.99,21,3,9,Andover:2;Woodbury:11
Monster Zero Sugar Lando Norris 16oz can,Mixes,Great Lakes Coca-Cola Distribution,40,0.7,59.8,2.05,2.99,31,3,8,Woodbury:40
Topo Chico Mineral Water 15oz btl,Mixes,Great Lakes Coca-Cola Distribution,32,0.7,45.7,1.51,3.99,62,3,9,Minnetonka:32
Lovejoy's Thai Basil Bloody Mary Mix 25oz,Mixes,Johnson Brothers - St. Paul,101,0.7,135.3,10.47,15.99,35,2,15,Rosemount:1;Blaine:2;St. Louis Park:4;Woodbury:4;Stillwater:7;Plymouth:8;Minnetonka:10;Vadnais Heights:10;Cottage Grove:11;Andover:13;Chanhassen:31
Collins 12.7 Oz Glitter Simple Syrup,Misc Other,"True Brands, Inc.",7,0.7,9.8,3.91,8.99,57,4,5,Minneapolis:7
Zoa Tropical Punch 12oz can,Mixes,"Breakthru Beverage Minnesota Beer, LLC",44,0.7,64.3,1.49,2.99,50,2,13,Minneapolis:44
Dole Tropical Fruit Punch 15oz can,Mixes,Pepsi-Cola,6,0.7,8.4,1.78,2.99,40,4,5,St. Louis Park:6
Birthday Candle Wine Bag,Accessories,"True Brands, Inc.",25,0.7,33.5,1.35,3.49,61,4,6,Andover:2;Vadnais Heights:2;Blaine:10;St. Louis Park:11
Dole Orange Juice 15oz,Mixes,Pepsi-Cola,25,0.7,37.4,1.85,2.99,38,3,8,Osseo:11;St. Louis Park:14
Dr. Pepper Diet 12pk 12oz can,Mixes,Pepsi-Cola,21,0.7,29.3,8.74,12.49,30,2,14,St. Louis Park:1;Andover:4;Chanhassen:4;Osseo:5;Vadnais Heights:7
Loon Strawberry 14mg,Smokeless,"M Amundson, LLP",0,0.6,0.0,6.0,8.99,33,0,19,
