Updated in Wine Tab?,Category,REVIEW,Notes,Reorder Point,Effective Date,REMOVE?,Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,Department,Size,Units/Case,Deal Description,Buy Months (if appl.),Case 1 (Retail),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value,Buy Qty,Free Qty,Freight,EO $,EO Cases,EO Period,Net Case,Net/Unit,Net Case EO,Net Cs EO/Unit,Retail Calc,Retail Override,Club Override,GM%,Avg Retail,Avg Club,Avg Sale,Distributor (1),Item Number (1),Product Description (1),Deal Description (1),Buy Months,Case 1,Buy Month Invoice (1),Net Case (1),Net Case EO (1),Diff b/w Case 1,Diff b/w Net Case,Diff b/w Net Case EO,Diff Item Number,Pnumber,Vendor,Vendor code,buy month,Reorder Points,Item Classfication,Retail Price,Rank
,,,88,3 tito's 1.75 at 96.50 on 15,,,,Breakthru Beverage,PALM BAY,9735791,086785110820,Roscato Blueberry,Wine,750 ml,12,,,128,96,,56.5,15,3,1.15,,,,85.85000000000001,7.154166666666668,85.85000000000001,7.154166666666668,15.99,12.49,10.96,0.3472475669099756,14.990000000000004,12.835000000000006,0,Breakthru Beverage,9735791,Roscato Blueberry,9cs purchase in a month,All,128,104,105.15,105.15,0,-19.299999999999997,-19.299999999999997, ,P14116,"Breakthru Beverage Minnesota Wine & Spirits, LLC",9735791,"January, July, March, May, November, September",7,,12.49,0
,,,88,3 tito's 1.75 at 96.50 on 15,,,,Breakthru Beverage,PALM BAY,9735801,086785110745,Roscato Peach,Wine,750 ml,12,,,128,96,,56.5,15,3,1.15,,,,85.85000000000001,7.154166666666668,85.85000000000001,7.154166666666668,15.99,12.49,10.96,0.3472475669099756,14.990000000000004,12.835000000000006,0,Breakthru Beverage,9735801,Roscato Peach,9cs purchase in a month,All,128,104,105.15,105.15,0,-19.299999999999997,-19.299999999999997, ,P14117,"Breakthru Beverage Minnesota Wine & Spirits, LLC",9735801,"January, July, March, May, November, September",6,,12.49,0
,,,88,3 tito's 1.75 at 96.50 on 15,,,,Breakthru Beverage,PALM BAY,9736000,086785212463,Roscato Rose Sweet Pink,Wine,750 ml,12,,,136,96,,56.5,15,3,1.15,,,,85.85000000000001,7.154166666666668,85.85000000000001,7.154166666666668,16.99,12.49,10.96,0.3472475669099756,14.990000000000004,12.960000000000006,0,Breakthru Beverage,9736000,Roscato Rose Sweet Pink,9cs purchase in a month,All,136,112,113.15,113.15,0,-27.299999999999997,-27.299999999999997, ,P3426,"Breakthru Beverage Minnesota Wine & Spirits, LLC",9736000,"January, July, March, May, November, September",2,,12.49,0
,,,88,3 tito's 1.75 at 96.50 on 15,,,,Breakthru Beverage,PALM BAY,9736068,086785110738,Roscato Rosso Dolce Red,Wine,750 ml,12,,,136,96,,56.5,15,3,1.15,,,,85.85000000000001,7.154166666666668,85.85000000000001,7.154166666666668,16.99,12.49,10.96,0.3472475669099756,14.990000000000004,12.960000000000006,0,Breakthru Beverage,9736068,Roscato Rosso Dolce Red,12cs purchase in a month,"Jan, March, May, July, Sept, Nov",136,104,105.15,105.15,0,-19.299999999999997,-19.299999999999997, ,P12096,"Breakthru Beverage Minnesota Wine & Spirits, LLC",9736068,"January, July, March, May, November, September",16,,12.49,0
,,,88,3 tito's 1.75 at 96.50 on 15,,,,Breakthru Beverage,PALM BAY,9735806,086785110837,Roscato Tropical,Wine,750 ml,12,,,128,96,,56.5,15,3,1.15,,,,85.85000000000001,7.154166666666668,85.85000000000001,7.154166666666668,15.99,12.49,10.96,0.3472475669099756,14.990000000000004,12.835000000000006,0,Breakthru Beverage,9735806,Roscato Tropical,9cs purchase in a month,All,128,104,105.15,105.15,0,-19.299999999999997,-19.299999999999997, ,P14118,"Breakthru Beverage Minnesota Wine & Spirits, LLC",9735806,"January, July, March, May, November, September",6,,12.49,0
,,,42,4 tito's 1.75 at 96.50 on 25,,,,Breakthru Beverage,PALM BAY,9735200,086785000039,Cavit Pinot Grigio 1.5L,Wine,1.5L,6,,,84,52,,56.5,25,5,1.15,,,,41.85,6.9750000000000005,41.85,6.9750000000000005,20.99,12.49,10.96,0.3635948905109489,14.990000000000004,12.960000000000006,0,Breakthru Beverage,9735200,Cavit Pinot Grigio 1.5L,12cs purchase in a month,"Feb, April, June, August, October, Dec",84,60,61.15,61.15,0,-19.299999999999997,-19.299999999999997, ,P2607,"Breakthru Beverage Minnesota Wine & Spirits, LLC",9735200,"April, August, December, February, June, October",16,Cavit 1.5L,12.49,0
,,,64,4 tito's 1.75 at 96.50 on 25,,,,Breakthru Beverage,PALM BAY,9221926,086785000084,Cavit Pinot Grigio 750ml,Wine,750 ml,12,,,112,72,,56.5,25,5,1.15,,,,61.85,5.154166666666667,61.85,5.154166666666667,13.99,8.99,7.96,0.35249162479061974,9.99,8.960000000000004,0,Breakthru Beverage,9221926,Cavit Pinot Grigio 750ml,9cs purchase in a month,ALL,112,88,89.15,89.15,0,-27.300000000000004,-27.300000000000004, ,P3923,"Breakthru Beverage Minnesota Wine & Spirits, LLC",9735727,"April, August, December, February, June, October",4,,8.99,0
,,,42,4 tito's 1.75 at 96.50 on 25,,,,Breakthru Beverage,PALM BAY,9735468,086785212081,Cavit Riesling 1.5L,Wine,1.5L,6,,,84,52,,56.5,25,5,1.15,,,,41.85,6.9750000000000005,41.85,6.9750000000000005,20.99,12.49,10.96,0.3635948905109489,14.990000000000004,12.960000000000006,0,Breakthru Beverage,9735468,Cavit Riesling 1.5L,9cs purchase in a month,ALL,84,68,69.15,69.15,0,-27.300000000000004,-27.300000000000004, ,P12005,"Breakthru Beverage Minnesota Wine & Spirits, LLC",9735468,"April, August, December, February, June, October",1,Cavit 1.5L,12.49,0
Completed,New Item,,a and b stores,,,,,Bellboy Corporation,Latitude Beverage,2990634,810204640885,90+ Cellars Willamette Valley Pinot Gris Lot 237 750ml,Wine,750ml,12,,All,82,82,,,,,1,,,,83,6.916666666666667,83,6.916666666666667,9.99,15.99,12.96,0.46630658436213995,,,,Bellboy Corporation,2990634,90+ Cellars Willamette Valley Pinot Gris Lot 237 750ml,0,All,82,82,83,83,0,0,0, ,,,,,,,14.99,0
Completed,New Item,,a and b stores,,,,,Bellboy Corporation,Latitude Beverage,2990654,810204640892,90+ Cellars RRV Rose of Pinot Noir Lot 238 750ml,Wine,750ml,12,,All,116,116,,,,,1,,,,117,9.75,117,9.75,14.99,23.99,19.96,0.5115230460921844,,,,Bellboy Corporation,2990654,90+ Cellars RRV Rose of Pinot Noir Lot 238 750ml,0,All,116,116,117,117,0,0,0, ,,,,,,,23.99,0
,Item Detail Change,,upc change,,2026-06-01 00:00:00,,,Johnson Brothers Liquor Co,Gallo,1687346,085000041949,Andre Pineapple Mimosa Can 355ml,Wine,355 ml,12,,All,40,32,32,,,,1.1,,,,33.1,2.7583333333333333,33.1,2.7583333333333333,4.99,,,0.44722778891115567,,,,,,,,,,,,,,,,,,,,,,,,
,Item Detail Change,,upc change,,2026-06-01 00:00:00,,,Johnson Brothers Liquor Co,Gallo,1667031,085000041956,Andre Strawberry Mimosa Can 555ml,Wine,355 ml,12,,All,40,32,32,,,,1.1,,,,33.1,2.7583333333333333,33.1,2.7583333333333333,4.99,,,0.44722778891115567,,,,,,,,,,,,,,,,,,,,,,,,
