Supplier,Average of Price,Average of Sale Price,Buy Month,Product Code,Average of Price A,Item Classification
Oxford Street Merchants,11.990000000000002,10.86,,755738000975,0,
"Grape Beginnings, Inc.",37.99,,,089208400676,31.959999999999994,
,9.99,,,745369565509,0,
"Vinocopia, Inc",14.990000000000004,10.86,,011699017903,0.559375,Jean Louis Ice Blanc de Blancs  750ml
Libation Project,59.99,,,3760228700133,0,
Small Lot MN,47.99,,,767749011024,0,
,17.990000000000002,,,857744001219,0,
Johnson Brothers - St. Paul,29.990000000000006,,,857744001028,0,
"Maverick Beverage Co., LLC - MN",59.99,,,400000006932,0,
Oxford Street Merchants,149.99,,,55125040816,0,
,19.990000000000002,,,6003325000513,0,
,12.990000000000002,,,6003325000735,0,
,25.990000000000006,,,9329914002278,0,
Southern Glazer's Wine & Spirits of MN,228.6149999999999,,,892159000730,170.9575,
"Bourget Imports, LLC",25.990000000000006,,,745163446400,0,
Paustis Wine,64.99,,,094922296092,0,
,81.99,,,010986000017,0,
"New France Wine Co, Inc",30.677500000000006,,,4850017750018,27.334374999999994,
Paustis Wine,12.990000000000002,,,084391123999,0,
Johnson Brothers - St. Paul,8.989999999999998,,,086395350005,0,
The Wine Company,19.990000000000002,0,,084654500017,16.960000000000004,
Libation Project,74.8025,,,400000022383,67.45812500000001,
,46.99,,,0506450,0,
"New France Wine Co, Inc",19.990000000000002,,,4028309140780,0,
,38.99,0,,722690500096,1.871875,
The Wine Company,31.990000000000006,,,4024831416119,0,
"New France Wine Co, Inc",17.021250000000002,,,811312003470,14.960000000000006,
"New France Wine Co, Inc",22.115000000000006,,,7501053620212,19.96,
"New France Wine Co, Inc",25.990000000000006,0,,664841005008,21.959999999999997,
"Grape Beginnings, Inc.",16.990000000000002,,,761503729118,0,
,9.99,,,722902000482,0,
Libation Project,24.990000000000006,,,0638097172302,0,
"Grape Beginnings, Inc.",24.990000000000006,,,8437015799100,0,
,11.990000000000002,,,091771016000,0,
"New France Wine Co, Inc",23.990000000000006,0,,835603001396,19.96,
Johnson Brothers - St. Paul,11.990000000000002,,,400000021829,0,
Small Lot MN,26.990000000000006,,,730792102285,0,
"Bourget Imports, LLC",31.990000000000006,0,,890841002079,1.434375,
,21.490000000000006,0,,638170082108,4.546875,
,22.990000000000006,,,638170082078,0,
,22.990000000000006,0,,638170082085,5.60625,
Johnson Brothers - St. Paul,6.489999999999998,,"February, May",085000022436,5.959999999999998,
Johnson Brothers - St. Paul,13.052500000000002,0,,085000031094,11.022500000000004,
Johnson Brothers - St. Paul,6.489999999999998,0,"February, May",085000034705,5.959999999999998,LaMarca 3pk & 187ml
Phillips Wine & Spirits - St. Paul,26.240000000000006,,,085124159124,0,
Oxford Street Merchants,37.49,,,085124859215,0,
,19.990000000000002,,,799758000164,0,
,10.99,,,799758000010,0,
"Vinocopia, Inc",14.990000000000004,0,,860115002425,12.771875000000005,
"Vinocopia, Inc",14.990000000000004,0,,860115002418,12.207500000000001,
"Vinocopia, Inc",14.990000000000004,0,,860115002449,12.771875000000005,
,74.99,,,566349,0,
Origin Wine & Spirits,12.708750000000002,,,641586353519,10.949999999999998,
"Grape Beginnings, Inc.",94.99,0,,084878167003,78.96000000000001,
,19.990000000000002,,,8026489100057,0,
"Maverick Beverage Co., LLC - MN",16.240000000000002,0,,035143177715,12.583750000000004,
Johnson Brothers - St. Paul,10.99,,,084279972114,0,
