Retail Price,Club Price (Anchor),20% Off Retail,$ Savings,Savings,0.95,REG PRICE
607.99,506.96,486.39200000000005,20.567999999999927,0.040571248224711864,506.95,607.99
609.99,507.96,487.992,19.96799999999996,0.03931018190408686,507.95,609.99
610.99,508.96,488.79200000000003,20.16799999999995,0.039625903803835176,508.95,610.99
611.99,509.96,489.59200000000004,20.367999999999938,0.03994038748137097,509.95,611.99
612.99,510.96,490.39200000000005,20.567999999999927,0.040253640206669654,510.95,612.99
613.99,511.96,491.192,20.767999999999972,0.04056566919290564,511.95,613.99
615.99,512.96,492.79200000000003,20.168000000000006,0.03931690580162197,512.95,615.99
616.99,513.96,493.59200000000004,20.367999999999995,0.03962954315510933,513.95,616.99
617.99,514.96,494.39200000000005,20.567999999999984,0.03994096628864374,514.95,617.99
618.99,515.96,495.192,20.76800000000003,0.04025118226219092,515.95,618.99
619.99,516.96,495.992,20.968000000000018,0.040560198081089474,516.95,619.99
621.99,517.96,497.59200000000004,20.367999999999995,0.03932349988416093,517.95,621.99
622.99,518.96,498.39200000000005,20.567999999999984,0.03963311237860333,518.95,622.99
623.99,519.96,499.192,20.76800000000003,0.03994153396415114,519.95,623.99
624.99,520.96,499.992,20.968000000000018,0.04024877149877153,520.95,624.99
625.99,521.96,500.79200000000003,21.168000000000006,0.04055483178787647,521.95,625.99
627.99,522.96,502.39200000000005,20.567999999999984,0.03932996787517206,522.95,627.99
628.99,523.96,503.192,20.76800000000003,0.03963661348194524,523.95,628.99
629.99,524.96,503.992,20.968000000000018,0.039942090825967724,524.95,629.99
630.99,525.96,504.79200000000003,21.168000000000006,0.0402464065708419,525.95,630.99
631.99,526.96,505.59200000000004,21.367999999999995,0.04054956732958857,526.95,631.99
633.99,527.96,507.192,20.76800000000003,0.03933631335707256,527.95,633.99
634.99,528.96,507.992,20.968000000000018,0.039640048396854234,528.95,634.99
635.99,529.96,508.79200000000003,21.168000000000006,0.03994263718016455,529.95,635.99
636.99,530.96,509.59200000000004,21.367999999999995,0.04024408618351664,530.95,636.99
637.99,531.96,510.39200000000005,21.567999999999984,0.04054440183472438,531.95,637.99
639.99,532.96,511.992,20.968000000000018,0.03934253977784452,532.95,639.99
640.99,533.96,512.792,21.168000000000006,0.03964341898269534,533.95,640.99
641.99,534.96,513.592,21.368000000000052,0.039943173321369915,534.95,641.99
642.99,535.96,514.392,21.567999999999984,0.04024180909023058,535.95,642.99
643.99,536.96,515.192,21.76800000000003,0.04053933253873664,536.95,643.99
645.99,537.96,516.792,21.168000000000006,0.03934865045728308,537.95,645.99
646.99,538.96,517.592,21.368000000000052,0.03964672702983533,538.95,646.99
647.99,539.96,518.392,21.567999999999984,0.03994369953329873,539.95,647.99
648.99,540.96,519.192,21.76800000000003,0.04023957409050582,540.95,648.99
649.99,541.96,519.9920000000001,21.96799999999996,0.040534356779098016,541.95,649.99
651.99,542.96,521.592,21.368000000000052,0.03935464859289828,542.95,651.99
652.99,543.96,522.392,21.567999999999984,0.03964997426281341,543.95,652.99
653.99,544.96,523.192,21.76800000000003,0.03994421608925431,544.95,653.99
654.99,545.96,523.9920000000001,21.96799999999996,0.040237380027840795,545.95,654.99
655.99,546.96,524.792,22.168000000000006,0.04052947199063918,546.95,655.99
657.99,547.96,526.392,21.567999999999984,0.0393605372654938,547.95,657.99
658.99,548.96,527.192,21.76800000000003,0.03965316234334018,548.95,658.99
659.99,549.96,527.9920000000001,21.96799999999996,0.039944723252600116,549.95,659.99
660.99,550.96,528.792,22.168000000000006,0.040235225787715996,550.95,660.99
661.99,551.96,529.592,22.368000000000052,0.04052467570113785,551.95,661.99
663.99,552.96,531.192,21.76800000000003,0.03936631944444449,552.95,663.99
664.99,553.96,531.9920000000001,21.96799999999996,0.03965629287313156,553.95,664.99
665.99,554.96,532.792,22.168000000000006,0.039945221277209175,554.95,665.99
666.99,555.96,533.592,22.368000000000052,0.04023311029570482,555.95,666.99
667.99,556.96,534.392,22.567999999999984,0.04051996552714734,556.95,667.99
669.99,557.96,535.9920000000001,21.96799999999996,0.03937199799268758,557.95,669.99
670.99,558.96,536.792,22.168000000000006,0.03965936739659368,558.95,670.99
671.99,559.96,537.592,22.368000000000052,0.039945710407886366,559.95,671.99
672.99,560.96,538.392,22.567999999999984,0.04023103251568736,560.95,672.99
673.99,561.96,539.192,22.76800000000003,0.04051533917004774,561.95,673.99
675.99,562.96,540.792,22.168000000000006,0.039377575671450914,562.95,675.99
676.99,563.96,541.592,22.368000000000052,0.03966238740336203,563.95,676.99
677.99,564.96,542.392,22.567999999999984,0.03994619088077029,564.95,677.99
678.99,565.96,543.192,22.76800000000003,0.04022899144815893,565.95,678.99
679.99,566.96,543.9920000000001,22.96799999999996,0.040510794412304145,566.95,679.99
681.99,567.96,545.592,22.368000000000052,0.03938305514472859,567.95,681.99
682.99,568.96,546.392,22.567999999999984,0.03966535433070863,568.95,682.99
683.99,569.96,547.192,22.76800000000003,0.039946662923713995,569.95,683.99
684.99,570.96,547.9920000000001,22.96799999999996,0.0402269861286254,570.95,684.99
685.99,571.96,548.792,23.168000000000006,0.04050632911392406,571.95,685.99
687.99,572.96,550.392,22.567999999999984,0.03938843898352412,572.95,687.99
688.99,573.96,551.192,22.76800000000003,0.03966826956582345,573.95,688.99
689.99,574.96,551.9920000000001,22.96799999999996,0.03994712675664387,574.95,689.99
690.99,575.96,552.792,23.168000000000006,0.04022501562608515,575.95,690.99
691.99,576.96,553.592,23.368000000000052,0.04050194120909604,576.95,691.99
693.99,577.96,555.192,22.76800000000003,0.039393729669873395,577.95,693.99
694.99,578.96,555.9920000000001,22.96799999999996,0.03967113444797561,578.95,694.99
695.99,579.96,556.792,23.168000000000006,0.0399475825919029,579.95,695.99
696.99,580.96,557.592,23.368000000000052,0.040223079041586424,580.95,696.99
697.99,581.96,558.392,23.567999999999984,0.040497628703003614,581.95,697.99
699.99,582.96,559.9920000000001,22.96799999999996,0.03939892960065864,582.95,699.99
700.99,583.96,560.792,23.168000000000006,0.039673950270566485,583.95,700.99
701.99,584.96,561.592,23.368000000000052,0.03994803063457339,584.95,701.99
702.99,585.96,562.392,23.567999999999984,0.0402211755068605,585.95,702.99
703.99,586.96,563.192,23.76800000000003,0.04049338966880201,586.95,703.99
705.99,587.96,564.792,23.168000000000006,0.039404041091230704,587.95,705.99
706.99,588.96,565.592,23.368000000000052,0.039676718283075334,588.95,706.99
707.99,589.96,566.392,23.567999999999984,0.03994847108278524,589.95,707.99
708.99,590.96,567.192,23.76800000000003,0.04021930418302428,590.95,708.99
709.99,591.96,567.9920000000001,23.96799999999996,0.0404892222447462,591.95,709.99
711.99,592.96,569.592,23.368000000000052,0.0394090663788452,592.95,711.99
712.99,593.96,570.392,23.567999999999984,0.03967943969290858,593.95,712.99
713.99,594.96,571.192,23.76800000000003,0.03994890412800865,594.95,713.99
714.99,595.96,571.9920000000001,23.96799999999996,0.0402174642593462,595.95,714.99
715.99,596.96,572.792,24.168000000000006,0.040485124631466106,596.95,715.99
717.99,597.96,574.392,23.567999999999984,0.03941400762592812,597.95,717.99
718.99,598.96,575.192,23.76800000000003,0.03968211566715645,598.95,718.99
719.99,599.96,575.9920000000001,23.96799999999996,0.039949329955330286,599.95,719.99
720.99,600.96,576.792,24.168000000000006,0.040215654952076685,600.95,720.99
721.99,601.96,577.592,24.368000000000052,0.040481095089374794,601.95,721.99
723.99,602.96,579.192,23.76800000000003,0.03941886692317903,602.95,723.99
724.99,603.96,579.9920000000001,23.96799999999996,0.03968474733426048,603.95,724.99
725.99,604.96,580.792,24.168000000000006,0.0399497487437186,604.95,725.99
726.99,605.96,581.592,24.368000000000052,0.040213875503333635,605.95,726.99
727.99,606.96,582.392,24.567999999999984,0.04047713193620664,606.95,727.99
729.99,607.96,583.9920000000001,23.96799999999996,0.039423646292519175,607.95,729.99
730.99,608.96,584.792,24.168000000000006,0.03968733578560169,608.95,730.99
731.99,609.96,585.592,24.368000000000052,0.03995016066627328,609.95,731.99
732.99,610.96,586.392,24.567999999999984,0.04021212518004449,610.95,732.99
733.99,611.96,587.192,24.76800000000003,0.04047323354467617,611.95,733.99
735.99,612.96,588.792,24.168000000000006,0.039428347689898204,612.95,735.99
736.99,613.96,589.592,24.368000000000052,0.039689882077008354,613.95,736.99
737.99,614.96,590.392,24.567999999999984,0.03995056589046439,614.95,737.99
738.99,615.96,591.192,24.76800000000003,0.04021040327293984,615.95,738.99
739.99,616.96,591.9920000000001,24.96799999999996,0.040469398340248895,616.95,739.99
741.99,617.96,593.592,24.368000000000052,0.03943297300796176,617.95,741.99
742.99,618.96,594.392,24.567999999999984,0.039692387230192555,618.95,742.99
743.99,619.96,595.192,24.76800000000003,0.03995096457835994,619.95,743.99
744.99,620.96,595.9920000000001,24.96799999999996,0.040208709095593854,620.95,744.99
745.99,621.96,596.792,25.168000000000006,0.04046562479902245,621.95,745.99
747.99,622.96,598.392,24.567999999999984,0.039437524078592495,622.95,747.99
748.99,623.96,599.192,24.76800000000003,0.03969485223411762,623.95,748.99
749.99,624.96,599.9920000000001,24.96799999999996,0.03995135688684069,624.95,749.99
750.99,625.96,600.792,25.168000000000006,0.04020704198351333,625.95,750.99
751.99,626.96,601.592,25.368000000000052,0.04046191144570634,626.95,751.99
753.99,627.96,603.192,24.76800000000003,0.039442002675329685,627.95,753.99
754.99,628.96,603.9920000000001,24.96799999999996,0.039697278046298586,628.95,754.99
755.99,629.96,604.792,25.168000000000006,0.039951742967807485,629.95,755.99
756.99,630.96,605.592,25.368000000000052,0.04020540129326748,630.95,756.99
757.99,631.96,606.392,25.567999999999984,0.040458256851699445,631.95,757.99
759.99,632.96,607.9920000000001,24.96799999999996,0.03944641051567233,632.95,759.99
760.99,633.96,608.792,25.168000000000006,0.039699665594043795,633.95,760.99
761.99,634.96,609.592,25.368000000000052,0.03995212296837604,634.95,761.99
762.99,635.96,610.392,25.567999999999984,0.04020378640166045,635.95,762.99
763.99,636.96,611.192,25.76800000000003,0.04045465963325802,636.95,763.99
765.99,637.96,612.792,25.168000000000006,0.0394507492632767,637.95,765.99
766.99,638.96,613.592,25.368000000000052,0.03970201577563549,638.95,766.99
767.99,639.96,614.392,25.567999999999984,0.03995249703106441,639.95,767.99
768.99,640.96,615.192,25.76800000000003,0.04020219670494263,640.95,768.99
769.99,641.96,615.9920000000001,25.96799999999996,0.04045111844974759,641.95,769.99
771.99,642.96,617.5920000000001,25.367999999999938,0.03945502053004843,642.95,771.99
772.99,643.96,618.392,25.567999999999984,0.0397043294614572,643.95,772.99
773.99,644.96,619.192,25.76800000000003,0.03995286529397176,644.95,773.99
774.99,645.96,619.9920000000001,25.96799999999996,0.04020063161805678,645.95,774.99
775.99,646.96,620.792,26.168000000000006,0.04044763200197849,646.95,775.99
777.99,647.96,622.392,25.567999999999984,0.039459225878140596,647.95,777.99
778.99,648.96,623.192,25.76800000000003,0.039706607495069074,648.95,778.99
779.99,649.96,623.9920000000001,25.96799999999996,0.039953227890947074,649.95,779.99
780.99,650.96,624.792,26.168000000000006,0.0401990905739216,650.95,780.99
781.99,651.96,625.5920000000001,26.367999999999938,0.04044419903061528,651.95,781.99
783.99,652.96,627.192,25.76800000000003,0.03946336682185743,652.95,783.99
784.99,653.96,627.9920000000001,25.96799999999996,0.039708850694232,653.95,784.99
785.99,654.96,628.792,26.168000000000006,0.03995358495175279,654.95,785.99
786.99,655.96,629.5920000000001,26.367999999999938,0.040197573022745195,655.95,786.99
787.99,656.96,630.392,26.567999999999984,0.040440818314661446,656.95,787.99
789.99,657.96,631.9920000000001,25.96799999999996,0.039467444829472856,657.95,789.99
790.99,658.96,632.792,26.168000000000006,0.03971105985188783,658.95,790.99
791.99,659.96,633.5920000000001,26.367999999999938,0.03995393660221822,659.95,791.99
792.99,660.96,634.392,26.567999999999984,0.040196078431372524,660.95,792.99
793.99,661.96,635.192,26.76800000000003,0.04043748867001031,661.95,793.99
795.99,662.96,636.792,26.168000000000006,0.039471461324966824,662.95,795.99
796.99,663.96,637.5920000000001,26.367999999999938,0.0397132357370925,663.95,796.99
797.99,664.96,638.392,26.567999999999984,0.039954282964388806,664.95,797.99
798.99,665.96,639.192,26.76800000000003,0.04019460628265966,665.95,798.99
799.99,666.96,639.9920000000001,26.96799999999996,0.040434208948062794,666.95,799.99
801.99,667.96,641.5920000000001,26.367999999999938,0.03947541768968192,667.95,801.99
802.99,668.96,642.392,26.567999999999984,0.039715379095910046,668.95,802.99
803.99,669.96,643.192,26.76800000000003,0.03995462415666611,669.95,803.99
804.99,670.96,643.9920000000001,26.96799999999996,0.04019315607487773,670.95,804.99
