Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Vendor UPC,Item Number,Net Case EO,Net Cs EO/Unit,Competitor Pricing
New Amsterdam Gluten Free Vodka,08567303,Liquor,50 ml,120,Gallo,Johnson Brothers Liquor Co,,All,80,0,80,0.6666666666666666,0.99,,80,80,JB Johnson Brothers - St. Paul08567303,001910419,0.6666666666666666,80,
New Amsterdam Vodka Gluten free,085000028636,Liquor,750ml,12,Gallo,Johnson Brothers Liquor Co,,All,109.1,0,117,9.091666666666667,12.99,,108,108,JB Johnson Brothers - St. Paul085000028636,001791793,9.091666666666667,109.1,
New Amsterdam Vodka Gluten free,085000028650,Liquor,1.75 L,6,Gallo,Johnson Brothers Liquor Co,6 free cases of NAM 1.75 free on 37 cases,Dec2023|January|March|May|July|Sept|Nov,86.2860465116279,0,108.5,14.381007751937984,23.99,,99,99,JB Johnson Brothers - St. Paul085000028650,001340059,14.381007751937984,86.2860465116279,
New Amsterdam Wildcard Hard Lemonade,085000434437,Liquor,4 pk can,6,Gallo,Johnson Brothers Liquor Co,,All,54,0,63,9,13.99,,54,54,JB Johnson Brothers - St. Paul085000434437,001516317,9,54,
New Amsterdam Wildcard Hard Punch,085000434451,Liquor,4 pk can,6,Gallo,Johnson Brothers Liquor Co,,All,54,0,63,9,13.99,,54,54,JB Johnson Brothers - St. Paul085000434451,001633563,9,54,
New Amsterdam Wildcard Hard Tea,085000434444,Liquor,4 pk can,6,Gallo,Johnson Brothers Liquor Co,,All,54,0,63,9,13.99,,54,54,JB Johnson Brothers - St. Paul085000434444,001656356,9,54,
New Holland Beer Barrel Bourbo,614036107017,Liquor,750ml,6,NEW HOLLAND BREWING COMPANY,Breakthru Beverage, ,All,145.15,,144,24.191666666666666,30.99,,144,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC614036107017",9238365,24.191666666666666,145.15,0.21937184037861673
New Holland Beer Barrel Rye,614036107031,Liquor,750ml,6,NEW HOLLAND BREWING COMPANY,Breakthru Beverage, ,All,154.15,,153,25.691666666666666,32.99,,153,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC614036107031",9275948,25.691666666666666,154.15,0.2212286551480247
New Holland Knickerbocker Gin,614036037017,Liquor,750ml,6,NEW HOLLAND BREWING COMPANY,Breakthru Beverage, ,All,122.65,,121.5,20.441666666666666,25.99,,121.5,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC614036037017",9239692,20.441666666666666,122.65,0.2134795434141336
Nikka Coffey Gin,4904230049296,Liquor,750ml,6,HOTALING & COMPANY,Breakthru Beverage, ,All,203.65,,202.5,33.94166666666667,43.99,,202.5,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC4904230049296",9266477,33.94166666666667,203.65,0.22842312646813664
Nikka Coffey Grain Whisky,4904230033578,Liquor,750 ml,6,HOTALING & COMPANY,Breakthru Beverage,,,,,,0,,,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC4904230033578",,,,
Nikka From The Barrel,4904230049739,Liquor,750ml,6,HOTALING & COMPANY,Breakthru Beverage, ,All,316.15,,315,52.69166666666666,67.99,,315,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC4904230049739",9321518,52.69166666666666,316.15,0.22500857969309213
