upc,Item,Department
850027710907,Nibbana Grapefruit Glow 4pk 12oz can,THC
850027710877,Nibbana Watermelon Wave 4pk 12oz can,THC
850027710938,Nibbana Watermelon Wave Caffeine 4pk 12oz can,THC
649696437501,Nothing But Hemp Agent Orange 10mg THC 1 pack,THC
649696442857,Nothing But Hemp Blue Dream 10mg THC 1 pack,THC
649696011633,Nothing But Hemp Zkittles 10mg THC 1 pack,THC
649696031334,Outer Space Strawberry Taffy 10 Pack,THC
859990007434,Squoze Ahhnold Tea & Lemonade 10mg THC 4pk 12oz can,THC
859990007427,Squoze Raspberry Haze 5mg THC 4pk 12oz can,THC
859990007410,Squoze Tropical Kush 10mg THC 4pk 12oz can,THC
649696090072,Vibes Black Cherry Pie Hard Candy 5mg THC 10 Pack,THC
649696087737,Vibes Mango Kush Hard Candy 5mg THC 10 Pack,THC
850007584771,Voltage Mango-Colada 10mg THC 4pk 12oz can,THC
850007584740,Voltage Tropical Frenzy 10mg THC 4pk 12oz can,THC
725792933212,1906 Bliss Drops 2mg THC 25pk,THC
643950493647,1906 Bliss Drops 2mg THC 5pk,THC
725792792536,1906 Boost Drops 2mg THC 25pk,THC
643950493708,1906 Boost Drops 2mg THC 5pk,THC
725792627906,1906 Chill Drops 2mg THC 25pk,THC
725792868019,1906 Chill Drops 2mg THC 5pk,THC
725792989622,1906 Genius Drops 2mg THC 25pk,THC
643950493623,1906 Genius Drops 2mg THC 5pk,THC
725792903987,1906 GO Drops 2mg THC 25pk,THC
725792915942,1906 GO Drops 2mg THC 5pk,THC
725792867340,1906 Love Drops 2mg THC 25pk,THC
643950493609,1906 Love Drops 2mg THC 5pk,THC
643950493777,1906 Off Duty 5mg THC 10pk Snap,THC
725792526704,1906 PAIN AM 10mg THC Gummies 5pk,THC
725792814917,1906 PAIN PM 10mg THC Gummies 5pk,THC
725792550501,1906 Sleep Drops 2mg THC 25pk,THC
643950493685,1906 Sleep Drops 2mg THC 5pk,THC
860003586266,Happi Glow 4pk 7.5oz can,THC
860009993624,Happi Glow Up 10mg THC 4pk 12oz can,THC
860009993600,Happi Lime Wild Mint 4pk 7.5oz can,THC
860003586280,Happi Nightcap 4pk 7.5oz can,THC
860009993662,Happi Rasp Honeysuckle 10mg THC 4pk 12oz can,THC
860003586228,Happi Raspberry Honeysuckle 4pk 7.5oz can,THC
850029205081,High Rise Blood Orange 10mg THC 4pk 12oz can,THC
850073387016,High Rise Blueberry 10mg THC 4pk 12oz can,THC
850073387009,High Rise Pineapple 10mg THC 4pk 12oz can,THC
850031940963,High Spirits Cherry Limeade 10mg 4pk 12oz can,THC
850057593037,High Spirits Cherry Limeade 5mg 4pk 12oz can,THC
850031940956,High Spirits Grapefruit Lemon 10mg 4pk 12oz can,THC
850057593020,High Spirits Grapefruit Lemon 5mg 4pk 12oz can,THC
