Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Jinro Strawberry 375ml,Fortified,Johnson Brothers - St. Paul,211,35.9,5.9,4.05,6.99,5.96,42,,138,534,Chanhassen:1;Cottage Grove:1;Osseo:3;Ramsey:4;Rosemount:8;St. Louis Park:9;Andover:10;Roseville:11;Stillwater:14;Bloomington:14;Woodbury:14;Blaine:14;Vadnais Heights:19;Minnetonka:20;Plymouth:21;Minneapolis:48
Black Box Pinot Grigio 500ml,Pinot Grigio/Gris,Johnson Brothers - St. Paul,120,35.0,3.4,3.43,5.49,4.96,38,,161,402,Ramsey:1;Osseo:3;Blaine:4;Cottage Grove:6;Plymouth:6;Stillwater:6;Bloomington:8;Roseville:10;Vadnais Heights:10;Minnetonka:11;Woodbury:11;Minneapolis:12;Andover:15;St. Louis Park:17
Bogle Cabernet Sauvignon 750ml,Cabernet,Johnson Brothers - St. Paul,208,34.9,6.0,6.09,9.99,8.96,39,,158,410,Minneapolis:3;Minnetonka:5;Stillwater:5;Blaine:6;Ramsey:7;Woodbury:10;Andover:15;Vadnais Heights:15;Chanhassen:16;Plymouth:17;St. Louis Park:19;Bloomington:20;Osseo:22;Roseville:22;Cottage Grove:26
La Crema Sonoma Chardonnay 750ml,Chardonnay,Johnson Brothers - St. Paul,428,34.9,12.3,11.23,18.99,14.96,41,,147,460,Stillwater:8;Minnetonka:10;Ramsey:10;Plymouth:11;Cottage Grove:14;Minneapolis:16;Andover:20;Rosemount:20;Osseo:21;Bloomington:21;Vadnais Heights:25;Blaine:36;Roseville:40;Chanhassen:42;St. Louis Park:61;Woodbury:73
Ecco Domani Pinot Grigio 750ml,Pinot Grigio/Gris,Johnson Brothers - St. Paul,500,34.8,14.4,8.09,13.79,11.96,41,,139,493,Ramsey:3;St. Louis Park:6;Rosemount:7;Minneapolis:9;Andover:9;Woodbury:10;Minnetonka:11;Cottage Grove:12;Stillwater:15;Plymouth:16;Chanhassen:19;Vadnais Heights:30;Bloomington:35;Osseo:58;Blaine:59;Roseville:201
Papi Chardonnay 750ml,Chardonnay,Paustis Wine,223,34.1,6.5,4.49,11.49,9.96,61,,165,353,Woodbury:2;Blaine:2;Bloomington:7;Minnetonka:9;Stillwater:9;Rosemount:9;Plymouth:11;Osseo:11;St. Louis Park:11;Cottage Grove:14;Vadnais Heights:14;Roseville:15;Ramsey:16;Chanhassen:17;Andover:36;Minneapolis:40
90+ Cellars Riesling Mosel 750ml,Other Whites,Bellboy Corporation,760,33.8,22.5,6.58,15.99,12.96,59,,126,518,Stillwater:14;Woodbury:15;Minnetonka:16;Vadnais Heights:16;Plymouth:20;Osseo:28;Ramsey:29;St. Louis Park:31;Rosemount:33;Chanhassen:39;Andover:59;Cottage Grove:63;Bloomington:68;Roseville:94;Minneapolis:103;Blaine:132
Josh Cellars Pinot Noir 750ml,Pinot Noir,Johnson Brothers - St. Paul,141,33.6,4.2,8.32,13.99,11.96,41,,142,440,Cottage Grove:1;Plymouth:1;Blaine:1;Vadnais Heights:2;Minnetonka:3;Minneapolis:6;Roseville:7;Chanhassen:7;Ramsey:9;Andover:10;Osseo:11;Rosemount:12;Woodbury:13;St. Louis Park:20;Stillwater:38
Franzia Chardonnay 5L Box,Chardonnay,Southern Glazer's Wine & Spirits of MN,101,33.3,3.0,14.2,20.99,17.96,32,,141,435,Chanhassen:3;Cottage Grove:3;Ramsey:3;Stillwater:3;Bloomington:4;Minnetonka:4;Plymouth:4;St. Louis Park:4;Rosemount:6;Woodbury:6;Blaine:6;Vadnais Heights:7;Andover:9;Roseville:10;Osseo:10;Minneapolis:19
Barefoot Moscato 1.5L,Moscato,Johnson Brothers - St. Paul,209,33.3,6.3,7.56,12.99,10.96,42,,133,471,Minnetonka:3;Bloomington:3;Chanhassen:4;Rosemount:5;Woodbury:6;Roseville:7;Stillwater:8;Andover:10;Vadnais Heights:11;Ramsey:12;Osseo:12;St. Louis Park:16;Cottage Grove:18;Plymouth:20;Blaine:22;Minneapolis:52
