Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
Roseville,"True Brands, Inc.",Fizz: Chrome Champagne Stopper,876718005329,1,2.1,1,12,2.64,32.0
Roseville,"True Brands, Inc.",2 oz plastic shot glasses,842094181766,4,2.9,1,12,4.15,50.0
Roseville,,Non-Refundable Transaction,NON-REFUNDABLE,-169,-34.5,189,189,0.0,0.0
Roseville,,Tip Item,TIP,0,0.0,13,13,0.0,0.0
Roseville,,MN Ice Cylinder,865839000221,0,0.0,1,1,5.49,5.0
Roseville,,Charm Social Tonic Lemon Ginger 12oz can,400000025568,0,0.0,4,4,2.42,10.0
Roseville,,MN Ice Rock,865839000238,1,0.6,6,6,5.49,33.0
Roseville,,MN Ice Big Bag,865839000245,48,1.5,81,81,3.3,267.0
Roseville,,MN Ice Sphere,865839000283,4,2.1,4,4,6.25,25.0
Roseville,,Marlboro Gold,02838423,15,3.4,3,3,12.54,38.0
St. Louis Park,Bellboy Corporation,Clamato Tomato Cocktail 64oz,014800516470,0,0.0,1,8,6.0,48.0
St. Louis Park,Bellboy Corporation,ReaLemon 5oz,014800582178,2,1.7,1,24,0.97,23.0
St. Louis Park,Bellboy Corporation,ReaLime 5oz,041409000062,13,1.7,1,24,0.99,24.0
St. Louis Park,Bellboy Corporation,SBOC Pimento Stuffed 5oz,089156001130,1,2.1,1,6,3.6,22.0
St. Louis Park,Bellboy Corporation,Ocean Spray Cranberry Juice,031200200006,9,2.8,1,12,2.92,35.0
St. Louis Park,Bellboy Corporation,Roses Sweetened Lime Juice 12oz,01667135,4,2.9,1,6,3.73,22.0
St. Louis Park,Bellboy Corporation,Ocean Spray Orange Juice 32oz,031200007360,5,3.6,1,12,3.53,42.0
St. Louis Park,"Breakthru Beverage Minnesota Beer, LLC",Fever Tree Ginger Ale 8pk 5oz can,812136030208,3,1.6,2,6,5.76,35.0
St. Louis Park,"Capitol Beverage Sales, L.P.",Polar Club Soda Liter,071537020045,6,0.3,6,72,0.89,64.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Coke Diet 20oz,049000000450,-2,-0.5,1,24,2.07,50.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Seagrams Ginger Ale 2L,072979004181,0,0.0,1,8,3.19,26.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Fresca 2L,049000050288,0,0.0,1,8,3.21,26.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Sprite Diet Zero 2L,049000050172,1,0.4,2,16,3.21,51.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Coke Diet 12pk 12oz can,049000028911,2,0.7,6,12,9.54,114.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Coke 2L,049000050103,3,0.9,2,16,3.2,51.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Coke Diet 2L,049000050110,4,1.3,2,16,3.21,51.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Coke 20oz,04904403,15,2.2,1,24,2.08,50.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Minute Maid Lemonade 2L,025000053818,3,2.6,1,8,3.21,26.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Coke 12pk 12oz can,049000028904,5,2.7,2,4,9.64,39.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Sprite 2L,049000050158,7,3.0,1,8,3.21,26.0
St. Louis Park,Great Lakes Coca-Cola Distribution,Sprite 20oz,04976400,27,3.4,1,24,2.08,50.0
St. Louis Park,Johnson Brothers - St. Paul,Finest Call Sweet & Sour Liter,070491801950,0,0.0,1,12,4.0,48.0
St. Louis Park,Johnson Brothers - St. Paul,Master of Mixes Simple Syrup 375ml,070491352070,5,2.4,1,12,2.67,32.0
St. Louis Park,"M Amundson, LLP",Marlboro 100s,02836328,3,2.1,1,10,12.55,125.0
St. Louis Park,"M Amundson, LLP",Marlboro,02835727,10,3.9,1,10,12.53,125.0
St. Louis Park,Pepsi-Cola,Orange Crush 10pk 8oz can,078000031461,0,0.0,1,3,4.37,13.0
St. Louis Park,Pepsi-Cola,Schweppes Club Soda 6pk 8oz,078000032420,0,0.0,2,8,4.35,35.0
St. Louis Park,Pepsi-Cola,Gatorade Gatorlyte Watermelon 20oz,052000050622,0,0.0,1,12,1.84,22.0
St. Louis Park,Pepsi-Cola,MTN Dew Baja Blast 20oz btl,012000130274,0,0.0,1,24,1.54,37.0
St. Louis Park,Pepsi-Cola,Schweppes Tonic Liter,078000218459,1,0.1,3,45,1.3,58.0
St. Louis Park,Pepsi-Cola,Gatorlyte Lemon Lime 20oz,052000052862,4,1.1,1,12,1.83,22.0
St. Louis Park,Pepsi-Cola,Gatorlyte Zero Fruit Punch 20oz,052000055009,3,1.6,1,12,1.82,22.0
St. Louis Park,Pepsi-Cola,Schweppes Diet Tonic 6pk 8oz,078000032635,3,1.8,1,4,3.94,16.0
