Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Corona Extra 6pk 12oz btl,Import,"Breakthru Beverage Minnesota Beer, LLC",167,94.2,1.8,6.89,11.49,9.96,40,,404,1211,Stillwater:1;Roseville:1;Minnetonka:2;Woodbury:5;Blaine:5;Plymouth:8;Andover:8;Rosemount:13;Bloomington:14;Cottage Grove:18;St. Louis Park:21;Ramsey:37;Minneapolis:47
Michelob Golden Light 12pk 12oz btl,Premium,,254,93.3,2.7,11.32,15.99,13.96,29,,390,1245,Minnetonka:5;Chanhassen:13;Vadnais Heights:13;Ramsey:14;Osseo:19;Plymouth:20;Blaine:21;Roseville:23;St. Louis Park:25;Minneapolis:29;Bloomington:30;Rosemount:3;Woodbury:10;Stillwater:13;Cottage Grove:18
Busch Light 12pk 12oz can,Below Premium,,281,91.3,3.1,10.61,14.99,12.96,29,,399,1140,Andover:7;St. Louis Park:12;Vadnais Heights:13;Chanhassen:16;Plymouth:19;Ramsey:19;Osseo:20;Roseville:20;Minneapolis:21;Blaine:21;Bloomington:30;Cottage Grove:11;Rosemount:14;Stillwater:15;Woodbury:43
Surfside Half and Half 24oz can,RTD,"Capitol Beverage Sales, L.P.",234,89.6,2.6,1.94,3.49,2.96,44,,511,582,Minnetonka:1;Stillwater:1;Rosemount:1;Andover:4;Bloomington:14;Ramsey:21;Woodbury:27;Roseville:31;Chanhassen:33;Blaine:39;Cottage Grove:62
Corona Extra 24pk 12oz btl,Import,"Breakthru Beverage Minnesota Beer, LLC",280,88.7,3.2,24.96,31.99,27.96,22,,392,1088,Minnetonka:1;Osseo:1;Vadnais Heights:2;Stillwater:7;Plymouth:8;Rosemount:12;Blaine:15;Roseville:21;Ramsey:25;Woodbury:31;Andover:33;Cottage Grove:36;Minneapolis:40;Bloomington:48
White Claw Surge Variety Pack 12pk 12oz can,Seltzer,,262,88.1,3.0,13.85,18.99,15.96,27,,388,1087,Ramsey:10;Osseo:13;Rosemount:17;Plymouth:17;Andover:21;Blaine:21;Stillwater:1;Minnetonka:2;Minneapolis:5;St. Louis Park:10;Chanhassen:15;Bloomington:22;Vadnais Heights:22;Woodbury:25;Roseville:27;Cottage Grove:34
War Pigs Foggy Geezer 12pk 12oz can,Craft,"College City Beverage, Inc.",348,85.7,4.1,16.03,23.99,19.96,33,,377,1058,Minnetonka:3;Cottage Grove:4;St. Louis Park:6;Minneapolis:8;Vadnais Heights:9;Bloomington:17;Woodbury:18;Chanhassen:21;Osseo:21;Stillwater:23;Plymouth:24;Ramsey:30;Andover:35;Rosemount:37;Blaine:40;Roseville:52
Busch Light Lime 24pk 12oz can,Premium,"College City Beverage, Inc.",326,84.9,3.8,19.97,23.99,,17,,417,854,Roseville:1;Cottage Grove:3;Bloomington:13;Andover:14;Osseo:17;Chanhassen:19;Woodbury:21;Vadnais Heights:27;Plymouth:34;Ramsey:65;Minneapolis:114
Carbliss Black Raspberry 4pk 12oz can,RTD,"Capitol Beverage Sales, L.P.",391,84.6,4.6,8.86,13.79,11.96,36,,372,1045,Bloomington:1;Minnetonka:2;Osseo:2;Chanhassen:9;Minneapolis:10;Blaine:14;Stillwater:19;Rosemount:26;Andover:33;Roseville:37;Cottage Grove:47;Ramsey:56;Plymouth:81;Vadnais Heights:82
Bud Light 24pk 12oz can,Premium,,576,82.9,7.0,19.67,22.99,20.96,14,,375,976,Minnetonka:2;St. Louis Park:12;Osseo:13;Stillwater:15;Minneapolis:22;Ramsey:23;Vadnais Heights:24;Rosemount:28;Bloomington:30;Roseville:33;Chanhassen:39;Plymouth:42;Blaine:42;Cottage Grove:45;Andover:85;Woodbury:121
Miller Lite 12pk 12oz can,Premium,Bernicks,192,82.3,2.3,11.31,14.99,13.46,25,,355,1049,Minnetonka:3;Ramsey:3;Roseville:4;Bloomington:6;Plymouth:9;Chanhassen:11;St. Louis Park:11;Cottage Grove:12;Stillwater:13;Vadnais Heights:16;Rosemount:19;Osseo:22;Woodbury:28;Minneapolis:37
Michelob Golden Light 6pk 16oz can,Premium,,385,81.7,4.7,5.53,8.99,8.46,38,,355,1028,Minnetonka:6;Plymouth:10;Ramsey:10;Andover:17;Rosemount:18;Chanhassen:20;Bloomington:22;Osseo:23;Vadnais Heights:37;Blaine:42;Roseville:79;St. Louis Park:202
Surfside Lemonade 24oz can,RTD,"Capitol Beverage Sales, L.P.",229,78.7,2.9,1.94,3.49,2.96,44,,445,527,Stillwater:1;Andover:1;Minnetonka:4;Ramsey:6;Chanhassen:19;Plymouth:22;Roseville:40;Blaine:41;Woodbury:41;Cottage Grove:64
Carbliss Tropical Variety 8pk 12oz can,RTD,Dahlheimer Beverage Monticello,241,77.3,3.1,18.02,22.49,18.96,20,,348,919,Rosemount:5;Andover:7;Plymouth:9;Woodbury:10;Vadnais Heights:16;Minneapolis:22;Chanhassen:23;St. Louis Park:23;Ramsey:24;Cottage Grove:29;Bloomington:34;Blaine:40
Leinenkugel's Sum Shandy 6pk 12oz btl,Craft,Bernicks,107,77.1,1.4,7.75,11.49,9.96,33,,345,927,Osseo:1;Plymouth:6;Minnetonka:7;Bloomington:7;St. Louis Park:8;Stillwater:9;Andover:9;Blaine:12;Cottage Grove:13;Rosemount:14;Minneapolis:16;Ramsey:18
