Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Windsor Canadian 1.75L,Whisky/Whiskey,Phillips Wine & Spirits - St. Paul,170,118.5,1.4,18.69,18.99,16.96,2,8 free windsor 1.75 free on 50 cases 1.75 only  + 5.666cs of Trav Free,505,1537,Plymouth:3;Minnetonka:4;St. Louis Park:5;Stillwater:5;Woodbury:9;Osseo:9;Vadnais Heights:10;Rosemount:12;Chanhassen:12;Roseville:13;Cottage Grove:14;Andover:15;Ramsey:17;Bloomington:20;Blaine:22
New Amsterdam Pineapple 50ml,Vodka,Johnson Brothers - St. Paul,1067,117.9,9.0,0.68,1.49,1.24,54,12 Sleeves of 10,497,1554,Andover:38;Blaine:79;Bloomington:86;Stillwater:94;Minnetonka:109;Rosemount:132;Minneapolis:163;Woodbury:366
99 Blue Raspberries 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,601,117.0,5.1,0.61,1.49,1.24,59,,495,1533,Stillwater:47;Andover:55;Roseville:89;Blaine:95;Bloomington:96;Vadnais Heights:102;Woodbury:117
Smirnoff Vodka Traveler,Vodka,Johnson Brothers - St. Paul,412,110.8,3.7,8.21,12.99,10.96,37,12 cs across chain - same week,488,1365,Osseo:2;Plymouth:11;Minnetonka:14;Ramsey:15;Chanhassen:15;Bloomington:18;Vadnais Heights:20;Blaine:24;Stillwater:27;Woodbury:27;Rosemount:28;St. Louis Park:28;Roseville:38;Andover:47;Cottage Grove:47;Minneapolis:51
Fireball Whisky 375ml,Whisky/Whiskey,Johnson Brothers - St. Paul,317,110.0,2.9,5.19,8.99,7.96,42,1 cs  375ml  free on every 10 cs 375's purchased - accum monthly,477,1390,Blaine:1;Vadnais Heights:5;Chanhassen:5;St. Louis Park:9;Plymouth:10;Rosemount:11;Minneapolis:12;Woodbury:12;Minnetonka:14;Roseville:19;Ramsey:26;Osseo:28;Cottage Grove:29;Andover:30;Stillwater:31;Bloomington:75
Yukon Jack 50ml,Whisky/Whiskey,"Breakthru Beverage Minnesota Wine & Spirits, LLC",1212,109.9,11.0,0.6,1.49,1.24,60,"150cs 50ml purchase in a month (Buffalo Trace Cream, Canadian Mist, Dr Mcgil, Fireball, Goldschlager, Hartley Brandy, Margaritaville, Parrot Bay, Platinum 7x, R&R, Scoresby, Sheep Dog, SoCo, Taaka, Traveller, Wheately, Yukon Jack)",518,1202,Vadnais Heights:24;Bloomington:72;Roseville:83;Woodbury:88;Blaine:102;Cottage Grove:103;St. Louis Park:115;Minneapolis:118;Andover:234;Ramsey:273
Kinky Grape 50ml,Cordials,Johnson Brothers - St. Paul,1184,108.0,11.0,0.51,1.49,1.24,66,1 free on 3. Kinky Pink 50ml as Free Good,462,1392,St. Louis Park:12;Blaine:21;Ramsey:29;Minnetonka:37;Andover:51;Stillwater:72;Osseo:81;Chanhassen:83;Cottage Grove:85;Vadnais Heights:85;Roseville:97;Plymouth:104;Minneapolis:107;Rosemount:119;Bloomington:201
Margaritaville Silver Tequila 50ml,Agave,"Breakthru Beverage Minnesota Wine & Spirits, LLC",923,105.3,8.8,0.35,1.19,0.96,71,"150cs 50ml purchase in a month (Buffalo Trace Cream, Canadian Mist, Dr Mcgil, Fireball, Goldschlager, Hartley Brandy, Margaritaville, Parrot Bay, Platinum 7x, R&R, Scoresby, Sheep Dog, SoCo, Taaka, Traveller, Wheately, Yukon Jack)",584,757,Ramsey:8;Osseo:46;St. Louis Park:89;Cottage Grove:96;Andover:100;Blaine:102;Vadnais Heights:106;Minneapolis:145;Woodbury:231
High Noon Variety Pack 12pk 12oz can,Pre-Mix,Johnson Brothers - St. Paul,196,105.3,1.9,22.14,32.99,27.96,33,6 bottles free on every 16cs of High Noon 12pk.  May/Aug 1/10,398,1593,Ramsey:2;Osseo:2;Woodbury:2;Andover:5;Minneapolis:7;Bloomington:8;Minnetonka:8;Cottage Grove:12;Vadnais Heights:13;Rosemount:16;Roseville:19;Stillwater:25;Blaine:28;St. Louis Park:49
Svedka Vodka 375ml,Vodka,Southern Glazer's Wine & Spirits of MN,267,104.1,2.6,3.24,7.99,6.96,59,"1 on 4, free 80pf 375ml (200ml + 375ml mix)",448,1330,Minnetonka:2;Blaine:2;Ramsey:4;Plymouth:5;Rosemount:10;Andover:11;Stillwater:14;Cottage Grove:17;Vadnais Heights:21;Chanhassen:22;Woodbury:23;Roseville:25;St. Louis Park:26;Bloomington:27;Minneapolis:27;Osseo:31
