Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail Calc,Club Override,GM%,Buy Month Invoice,Effective Date,Notes,Non-Buy Month Invoice,Reorder Point,Item Number,Net Case EO,Net Cs EO/Unit,Retail Override,Avg Retail,Avg Club,Markup,Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Net Case on Spirits Tab,Diff b/w Case 1,Diff b/w Net Case,Diff Item Number,Units On Hand Across Chain,Netsuite Name,Color
Mathilde Framboise Liqueur,695521117506,Liquor,375ml,12,Cognac Ferrand,Bellboy Corporation,,ALL,10.416666666666666,125,136.4,16.99,14.96,0.30369875222816406,136.4,2026-03-01 00:00:00,,136.4,,7564932,125,10.416666666666666,17.99,15.99,13.96,0.5,,,,,,,,20,Bellboy Corporation,
Mathilde Orange XO Liqueur,695521117001,Liquor,750ml,6,Cognac Ferrand,Bellboy Corporation,,ALL,23.816666666666666,142.9,141.9,30.99,32.96,0.2774069579288026,141.9,2026-03-01 00:00:00,,141.9,,7564964,142.9,23.816666666666666,39.99,,,0.3,,,,,,,,,Bellboy Corporation,
Mathilde Peche Liqueur,695521117612,Liquor,750ml,6,Cognac Ferrand,Bellboy Corporation,,ALL,20.483333333333334,122.9,121.9,25.99,28.96,0.2927025782688766,121.9,2026-03-01 00:00:00,,121.9,,7564944,122.9,20.483333333333334,34.99,23.99,0,0.3,,,,,,,,5,Bellboy Corporation,
Mathilde Peche Liqueur,695521117605,Liquor,375ml,12,Cognac Ferrand,Bellboy Corporation,,ALL,10.416666666666666,125,136.4,16.99,14.96,0.30369875222816406,136.4,2026-03-01 00:00:00,,136.4,,7564942,125,10.416666666666666,17.99,15.99,0,0.5,,,,,,,,0,Bellboy Corporation,
Mathilde Poire Liqueur,695521117704,Liquor,375ml,12,Cognac Ferrand,Bellboy Corporation,,ALL,10.416666666666666,125,136.4,16.99,14.96,0.30369875222816406,136.4,2026-03-01 00:00:00,,136.4,,ZZZ35865,125,10.416666666666666,17.99,15.99,13.96,0.5,,,,,,,,0,Bellboy Corporation,
Mathilde Poire Liqueur,695521117711,Liquor,750ml,6,Cognac Ferrand,Bellboy Corporation,,ALL,20.483333333333334,122.9,121.9,25.99,28.96,0.2927025782688766,121.9,2026-03-01 00:00:00,,121.9,,7564954,122.9,20.483333333333334,34.99,,,0.3,,,,,,,,,Bellboy Corporation,
Planteray Rum 20th Anniversary XO,695521151203,Liquor,750ml,6,Cognac Ferrand,Bellboy Corporation,1 cs 3 Stars Silver free on 8 cs mix & match all Plantation - accum monthly,ALL,35.5625,213.375,225,48.99,45.96,0.22622932985204527,225,2026-03-01 00:00:00,,225,,7872744,213.375,35.5625,54.99,43.99,0,0.3,,,,,,,0,0,Bellboy Corporation,
ReaLemon-squeeze lemon 4.5 oz,014800582178,Misc,4.5 oz,24,DOT Foods,Bellboy Corporation, ,ALL,1.0316666666666667,24.76,26.4,0.99,1.74,0.4070881226053639,23.76,2026-03-01 00:00:00,,23.76,,MIX00005,24.76,1.0316666666666667,1.99,2.29,1.24,0.3,,,,,,,,153,Bellboy Corporation,
ReaLime -squeeze lime 4.5 oz,041409000062,Misc,4.5 oz,24,DOT Foods,Bellboy Corporation,,ALL,1.0316666666666667,24.76,26.4,0.99,1.74,0.4070881226053639,23.76,2026-03-01 00:00:00,,23.76,,MIX00006,24.76,1.0316666666666667,1.99,2.29,1.24,0.3,,,,,,,,194,Bellboy Corporation,
Tajin clasico seasoning rimmer,633148599305,Misc,4.23 oz,12,MexLink,Bellboy Corporation, ,ALL,4.965833333333333,59.59,63,6.99,7.96,0.37615159128978226,58.59,2026-03-01 00:00:00,,58.59,,MIXTAJIN,59.59,4.965833333333333,9.99,6.49,5.96,0.3,,,,,,,,99,Bellboy Corporation,
